#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
INTERACTION_CANNOT_INVITE_MARRIED;[Recipient.GetTitledFirstName] ²»ÄÜÒÑ»é;[Recipient.GetTitledFirstName] ne doit pas être marié[Recipient.GetNoneE];[Recipient.GetTitledFirstName] muss ledig sein;;[Recipient.GetTitledFirstName]No necesita estar casado;;;;;;;;;x
INTERACTION_CANNOT_INVITE_CONSORT;[Recipient.GetTitledFirstName] ²»ÄÜÊÇæª;[Recipient.GetTitledFirstName] ne doit pas être un[Recipient.GetNoneE] concubin[Recipient.GetNoneE];[Recipient.GetTitledFirstName] darf keine Konkubine sein;;[Recipient.GetTitledFirstName] no necesita ser una concubina;;;;;;;;;x
AIREASON_LOVER;§Y[GetTitledFirstName]§!ÊÇÎÒµÄÇéÈË;§Y[GetTitledFirstName]? est mon amant[GetNoneE];§Y[GetTitledFirstName]? ist mein/e Liebhaber/in;;§Y[GetTitledFirstName]? es mi amante;;;;;;;;;x
AIREASON_FRIEND;§Y[GetTitledFirstName]§!ÊÇÎÒµÄÅóÓÑ;§Y[GetTitledFirstName]? est mon ami[GetNoneE];§Y[GetTitledFirstName]? ist mein/e Freund/in;;§Y[GetTitledFirstName]? es mi amigo;;;;;;;;;x
AIREASON_WITH_LOVER;ÏëÓëÇéÈË¡ª¡ª§Y[GetTitledFirstName]§!ÔÚÒ»Æğ;Souhaite rester avec son amant[GetNoneE] - §Y[GetTitledFirstName]?;Möchte bei Liebhaber bleiben - §Y[GetTitledFirstName]?;;Quiere quedarse con su amante, §Y[GetTitledFirstName]?;;;;;;;;;x
MODIFIER_SAME_RELIGION_OPINION;ÏàÍ¬×Ú½Ì;Même religion;Gleiche Religion;;Misma religión;;;;;;;;;x
PV_FORT;±¤Àİ;Fort;Festung;;Fortaleza;;;;;;;;;x
PV_TRADE_POST;ÉÌÕ»;Comptoir;Handelsposten;;Puesto comercial;;;;;;;;;x
adopt_wolf_child;´ËÊÕÑø¶ùÍ¯ÓµÓĞ¼Ì³ĞµÄÍêÈ«È¨Àû¡£;L'enfant est adopt?et jouit de son droit entier de succession.;Das Kind wird mit allen Erbrechten adoptiert.;;El niño es adoptado con pleno derecho de la herencia.;;;;;;;;;x
EVTTOOLTIP89008;µÃÖªÄ±É±ÆóÍ¼¡£;S'est vu informer de la tentative de meurtre.;Wurde über den Mordversuch informiert.;;Es informado de la tentativa de asesinato;;;;;;;;;x
claim_on_vassal_plot_desc;§Y$CLAIMANT$§!ÕıÊÔÍ¼ÊÕ»Ø§Y$TITLE$§!µÄÍ·ÏÎ£¬ÕâÒÑµ¼ÖÂÓë§Y$TARGET$§!µÄÎä×°³åÍ»;§Y$CLAIMANT$? tente de révoquer le titre de §Y$TITLE$?, ce qui a engendr?une confrontation armée avec §Y$TARGET$?;§Y$CLAIMANT$? versucht, den Titel §Y$TITLE$? abzuerkennen, was zu einem bewaffneten Konflikt mit §Y$TARGET$? geführt hat.;;§Y$CLAIMANT$? intenta retirar el título de §Y$TITLE$?, lo que ha derivado en un conflicto armado con §Y$TARGET$?;;;;;;;;;x
EVTOPTC63011;ÕâÓĞÃ¨Äå¡£ÎÒÓ¦¸ÃÍ¨Öª²ÂÏëµÄÄÇÎ»¡®ÃÜÄ±Õß¡¯¡£;Ceci semble loufoque. Je devrais en avertir le prétendu « comploteur ».;Scheinbar stimmt da was nicht. Ich sollte den angeblichen 'Verschwörer' informieren.;;Esto parece sospechoso. Debería informar al supuesto "conspirador".;;;;;;;;;x
werewolf_howling_tooltip;ÕûÒ¹¶Ô×ÅÔÂÁÁº¿½Ğ¡£;Hurler ?la lune toute la nuit.;Verbringt die Nacht damit, den Mond anzuheulen.;;Aullando a la luna toda la noche.;;;;;;;;;x
werewolf_swimming_tooltip;Ë¯ÔÚÍâÃæ£¬È«ÉíÊªÍ¸¡­¡­;Dormir dehors, trempé[Root.GetNoneE]...;Schlaft völlig durchnässt im Freien.;;Durmiendo al raso, completamente mojado/a..;;;;;;;;;x
SENTIMENT;¹Û¸Ğ:;Sentiment?;Meinung:;;Sentimiento:;;;;;;;;;x
#SENTIMENT_OF;Sentiment of;;Meinung von;;Sentimiento de;;;;;;;;;x;
GRAZING_LAND;ĞèÒª¸ü¶àÄÁ³¡;Besoin de plus de pâturage;Braucht mehr Weideland;;Necesitando más tierras de pastoreo;;;;;;;;;x
CLAN_OPINION;²¿×å¹Û¸Ğ;Sentiment du clan?;Klanmeinung;;Sentimiento de clan;;;;;;;;;x
MARRIAGE_TIES;»éÒö¹ØÏµ;Liens par mariage;Ehebünde;;Lazos de matrimonio;;;;;;;;;x
WEAK;Èõµã;Faiblesse;Schwäche;;Debilidad;;;;;;;;;x
TOO_MUCH_COMPETITION;¾ºÕù¹ı¼¤;Trop de concurrence;Zu viel Konkurrenz;;Demasiada competencia;;;;;;;;;x
CREATE_FEUD;$ACTOR$Óë$RECIPIENT$½«±»ÍÏÈëÊÀ³ğ¡£;$ACTOR$ et $RECIPIENT$ seront impliqués dans une querelle;$ACTOR$ und $RECIPIENT$ werden in eine Fehde verwickelt;;$ACTOR$ y $RECIPIENT$ se verán arrastrados a una pelea;;;;;;;;;x
opinion_built_temple;½¨ÔìËÂÃí;Temple construit;Erbaute Tempel;;Templo construido;;;;;;;;;x
FORM_BLOOD_OATH_INTERACTION_TITLE;´ï³ÉÑªÊÄ;Former un pacte du sang;Blutschwur ablegen;;Hacer un juramento de sangre;;;;;;;;;x
#FORM_BLOOD_OATH_INTERACTION_DESC;Swearing a blood oath between these two clans will make them become as if one. You swear to defend each other and for all time be allies in war and brothers in peace. Be careful however as you can only have one other clan as your blood-sworn brother.;;Durch einen Blutschwur werden die beiden Klans geeint. Zweck des Schwurs ist es, dem anderen Klan im Verteidigungsfall zu helfen, im Krieg ein B¨¹ndnispartner und in Friedenszeiten ein Freund zu sein. Beachtet dabei jedoch, dass nur ein Klan Euer Bruderklan sein kann.;;Realizar un juramento de la sangre entre estos dos clanes ser¨¢ como si se convirtieran en uno solo. Jur¨¢is defenderos el uno al otro, siempre ser¨¦is aliados en la guerra y hermanos en la paz. Pero ten cuidado, puesto que s¨®lo puedes tener un clan como hermano de sangre.;;;;;;;;;x;
#FORM_BLOOD_OATH_INTERACTION_LONG_DESC;Swearing a blood oath between these two clans will make them become as if one. You swear to defend each other and for all time be allies in war and brothers in peace. Be careful however as you can only have one other clan as your blood-sworn brother.;;Durch einen Blutschwur werden die beiden Klans geeint. Zweck des Schwurs ist es, dem anderen Klan im Verteidigungsfall zu helfen, im Krieg ein B¨¹ndnispartner und in Friedenszeiten ein Freund zu sein. Beachtet dabei jedoch, dass nur ein Klan Euer Bruderklan sein kann.;;Realizar un juramento de la sangre entre estos dos clanes ser¨¢ como si se convirtieran en uno solo. Jur¨¢is defenderos el uno al otro, siempre ser¨¦is aliados en la guerra y hermanos en la paz. Pero ten cuidado, puesto que s¨®lo puedes tener un clan como hermano de sangre.;;;;;;;;;x;
INTERACTION_NO_BLOOD_BROTHER;§Y$CLAN$§!²»ÄÜÒÑÓĞ½á°İĞÖµÜ;§Y$CLAN$? ne peut pas encore avoir un frère de sang;§Y$CLAN$? darf nicht bereits per Blutschwur gebunden sein;;§Y$CLAN$?X ya no puede tener un hermano de sangre;;;;;;;;;x
HAS_BLOOD_OATH_WITH;Óë§Y$CLAN$§!ÓĞÑªÊÄ;A form?un pacte du sang avec le clan §Y$CLAN$?;Hat Blutschwur mit §Y$CLAN$?;;Tiene un juramento de sangre con;;;;;;;;;x
NOT_HAS_BLOOD_OATH_WITH;Óë§Y$CLAN$§!Ã»ÓĞÑªÊÄ;N'a pas form?un pacte du sang avec le clan §Y$CLAN$?;Hat keinen Blutschwur mit §Y$CLAN$?;;No tiene un juramento de sangre con §Y$CLAN$?;;;;;;;;;x
declare_feud;Ğû²¼ÊÀ³ğ;Déclencher une querelle;Fehde ausrufen;;Declarar enemistad;;;;;;;;;x
#declare_feud_desc;Declare a feud between your clan and another.;;Ruft eine Fehde aus zwischen Eurem und einem anderen Klan.;;Declarar una disputa entre tu clan y otro.;;;;;;;;;x;
opinion_feud;ÊÀ³ğ;Querelle;Fehde;;Enemistad;;;;;;;;;x
BLOOD_BROTHER;½á°İĞÖµÜ;Frères de sang;Blutsbrüder;;Hermanos de sangre;;;;;;;;;x
EVTDESC505;ÎÒÏòÄã·¢ÊÄ£¬Í¨¹ıÏÊÑªµÄÁªÏµÎÒÃÇ½áÎªĞÖµÜ£¡;Je jure de me comporter désormais tel un frère li?par le sang?;Ich schwöre, das wir fortan durch Blut wie Brüder verbunden sein sollen!;;¡Te juro que estaremos unidos por la sangre como hermanos!;;;;;;;;;x
EVTDESC506;ÎÒ²»½ÓÊÜÄãÑªÊÄµÄÇëÇó¡£;Je n'accepte pas votre offre de pacte du sang.;Ich lehne den Blutschwur mit Euch ab.;;No acepto tu oferta de juramento de sangre.;;;;;;;;;x
