;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
vice_royalty_2_desc;½¨Á¢Íõ¹ú¼°¹«¹ú×Ü¶½¡£;Autorise la création de vice-royautés ?partir de duchés et de royaumes.;Schaltet das Einsetzen von Vizekönigen in Königreichen und Herzogtümern frei ;;Activa los virreinatos en reinos y ducados.;;;;;;;;;x
duke_vice_royalties;ÔÊĞíÍõ¹ú¼°¹«¹ú×Ü¶½;Autorise la création de vice-royautés ?partir de duchés et de royaumes.;Gestattet das Einsetzen von Vizekönigen in Königreichen und Herzogtümern;;Permite los virreinatos en reinos y ducados;;;;;;;;;x
PLOT_POWER_DESC;ÃÜÄ±Í¨¹ı»ñµÃÖ§³ÖÕßÀ´Ìá¸ß³É¹¦ÂÊ£¬¸ßÃÜÄ±Öµ»á½âËø¸ü¶àµÄÌØÊâÃÜÄ±¾öÒé¼°Ê±¼ä.ÈÃÄãµÄ¼äµıÖ÷¹ÜÔÚÄãµÄÃÜÄ±Ä¿±êµÄËùÔÚµØ½¨Á¢¼äµıÍø½«»á´ó´óÌá¸ßÄãµÄÃÜÄ±³É¹¦ÂÊ¡£;Un complot gagne en force grâce ?des comploteurs plus puissants. Avoir une force de complot supérieure rend disponibles de nouveaux événements et décisions pour le complot. Avoir votre maître-espion en mission pour tisser un réseau d'espionnage dans la province de votre cible augmente aussi la force du complot.;Die Verschwörungsstärke steigt je mehr Unterstützer ihr für euren Plan gewinnen könnt, was spezielle Entscheidungen und Ereignisse ermöglicht. Der Aufbau eines Agentennetzwerks durch euren Agentenführer am Aufenthaltsort des Zieles wird ebenfalls die Verschwörungsstärke erhöhen. ;;La fuerza de un complot incrementa si tiene partidarios poderosos. Com mayor Fuerza del Complot decisiones y eventos especiales se desbloquean para el complot. Si tu Maestro de Espías est?creando una red de espías en el lugar del objetivo del complot, la Fuerza del Complot incrementa aún más.;;;;;;;;;x
LIEGE_ENDED_OTHER_WAR_PARTICIPATION_LOG;§Y$VASSAL$§!²»ÔÙÊÇ§Y$VASSAL_WAR$§!µÄ²ÎÓëÕß£¬ÒòÎª$PRONOUN$·â¾ı§Y$LIEGE$§!×÷Îª§Y$SIDE$§!¼ÓÈëÁË§Y$LIEGE_WAR$§!¡£;§Y$VASSAL$? ne participe plus ?la §Y$VASSAL_WAR$? car son seigneur lige §Y$LIEGE$? a rejoint la §Y$LIEGE_WAR$? du cot?§Y$SIDE$?.;§Y$VASSAL$? ist nicht mehr Teil von ''§YThe $VASSAL_WAR$?'' da $PRONOUN$ Lehnsherr §Y$LIEGE$? als §Y$SIDE$? in den ''§YThe $LIEGE_WAR$?'' eingetreten ist. ;;§Y$VASSAL$? ya no participa en la §YThe $VASSAL_WAR$? ya que su señor §Y$LIEGE$? se ha unido a la §YThe $LIEGE_WAR$? como §Y$SIDE$?.;;;;;;;;;x
LIEGE_ENDED_OTHER_WAR_LOG;§Y$VASSAL_WAR$§!½áÊøÁË£¬ÒòÎª§Y$LIEGE$§!×÷Îª§Y$SIDE$§!¼ÓÈëÁË§Y$LIEGE_WAR$§!¡£;§YThe $VASSAL_WAR$? s'est terminée car §Y$LIEGE$? a rejoint §YThe $LIEGE_WAR$? en tant aue §Y$SIDE$?.;Der ''§YThe $VASSAL_WAR$?'' endete da §Y$LIEGE$? als §Y$SIDE$? in den ''§YThe $LIEGE_WAR$?'' eingetreten ist. ;;§YThe $VASSAL_WAR$? ha terminado ya que §Y$LIEGE$? se ha unido a la §YThe $LIEGE_WAR$? como §Y$SIDE$?.;;;;;;;;;x
NOT_ANY_WAR_STARTS;ÎŞÕ½Õù;Pas de guerre;Kein Krieg ;;No est?en guerra;;;;;;;;;x
not_under_attack;·Ç·ÀÓù·½;Pas défenseur dans une guerre;Nicht Verteidiger in einem Krieg ;;No es un defensor en una guerra;;;;;;;;;x
temple_king_pagan_group;¼ÀË¾Íõ;Prêtre-roi;Priesterkönig ;;Sacerdote-Rey;;;;;;;;;x
EVTTITLE_CM_1402;·´ÅÑ[From.PrimaryTitle.GetRulerTitle];L'insoumis [From.PrimaryTitle.GetRulerTitle];Der Rebellische [From.PrimaryTitle.GetRulerTitle] ;;El revoltoso [From.PrimaryTitle.GetRulerTitle];;;;;;;;;x
EVTDESC_CM_1410;ÎÒµÄ[Root.GetLordLady]£¬ÅÑÍ½[From.GetTitledName]Ëº»ÙÁË[From.GetHerHis]ÅµÑÔ£¬¾Ü¾øÖ§Ô®Äã·´¿¹ÙÁÂíÑÇÍõ³¯£¡;M[Root.GetHerHis][Root.GetLordLady], \n\n[From.GetTitledName] manque ?sa parole et refuse de vous aider contre les Omeyyades?;Mein [Root.GetLordLady], [From.GetTitledName] hat [From.GetHerHis] Versprechen gebrochen und weigert sich, euch gegen die Umayyaden zu unterstützen! ;;Mi [Root.GetLordLady], ¡El traidor [From.GetTitledName] ha incumplido su palabra y se ha negado a ayudarnos contra los Omeyas!;;;;;;;;;x
