;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
WIKIPEDIA_LINK;§YÎ¬»ù°Ù¿ÆÁ´½Ó£¨Ó¢ÎÄ£©§W;§YLien Wikipédia§W;§YWikipedia Link§W;;§YEnlace a Wikipedia§W;;;;;;;;;x
WIKIPEDIA_LINK_DESC;ä¯ÀÀÎ¬»ù°Ù¿ÆÉÏµÄ½ÇÉ«½éÉÜ;Ouvre un navigateur vers la page Wikipedia du personnage;Öffnet den Browser und zeigt die Wikipediaseite für diesen Charakter an;;Abre un enlace en el explorador a la página de Wikipedia de este personaje;;;;;;;;;x
WIKIPEDIA_LINK_MISSING;§YÕâ¸ö½ÇÉ«Ã»ÓĞÎ¬»ù°Ù¿Æ½éÉÜ§W;§YCe personnage n'a pas de page wikipédia?;§YDieser Charakter besitzt keinen Wikipedia-Link?;;§YEste personaje no tiene enlace en Wikipedia§W;;;;;;;;;x
WIKIPEDIA_LINK_DISABLED;Î¬»ù°Ù¿ÆÁ´½Ó¹Ø±Õ;Les liens wikipedia sont désactivés;Wikipedia-Links sind deaktiviert;;Los enlaces a la Wikipedia están desactivados;;;;;;;;;x
AIREASON_TARGET_HAS_REPENTED_SINS;§Y[GetBestName]§!×î½üÒÑ¾­âã»Ú  [GetPossPronoun] ·¸ÏÂµÄ×ï¹ı .;§Y[GetBestName]? s'est récemment repenti de ses péchés;Hat jüngst für seine Sünden Buße getan;;§Y[GetBestName]? se ha arrepentido recientemente de sus [GetPossPronoun] pecados;;;;;;;;;x
OL_DISABLED_ALERTS;¹Ø±Õ¾¯¸æ;Alertes déactivées;Alarme sind deaktiviert;;Desactivar Avisos;;;;;;;;;x
alert_deficits_name;³à×Ö;Déficits;Defizite;;Déficits;;;;;;;;;x
alert_country_at_war_name;Õ½Õù×´Ì¬;Pays en guerre;Land befindet sich im Krieg;;País en Guerra;;;;;;;;;x
alert_casus_belli_will_expire_name;ÁÙÊ±ĞûÕ½ÀíÓÉ;Casus belli temporaire;Temporärer Casus Belli;;Casus Belli temporal;;;;;;;;;x
alert_allies_not_called_in_name;ÎÒÃÇ¿ÉÒÔÕÙ»½ÃËÓÑ;Nous pouvons solliciter de l'aide ?nos alliés;Es können Verbündte um Beistand gebeten werden;;Podemos llamar a nuestros aliados;;;;;;;;;x
alert_build_province_improvement_name;¿ÉÒÔ½¨ÉèÊ¡·İ½¨Öş;Peut contruire des améliorations comtales;Es können Provinzverbesserungen gebaut werden;;Podemos construir mejoras en nuestras provincias;;;;;;;;;x
alert_troops_in_foreign_territory_name;¾ü¶Ó×¤ÔúÔÚ¹ú¾³Íâ;Troupes en territoire étranger;Truppen im fremden Gebiet;;Tropas en tierras extranjeras;;;;;;;;;x
alert_revoltrisk_in_provinces_name;¿ÉÄÜ±¬·¢ÅÑÂÒ;Révoltes possibles;Es sind Revolten möglich;;Posibles revueltas;;;;;;;;;x
alert_available_decision_name;ÖØÒª¾öÒé;Décisions importantes;Wichtige Entscheidungen;;Decisiones Importantes;;;;;;;;;x
alert_noheir_name;Ã»ÓĞ¼Ì³ĞÈË;Pas d'héritier;Kein Erbe;;No tienes Heredero;;;;;;;;;x
alert_court_not_filled_name;ÊàÃÜÔºÏ¯Î»¿ÕÈ±;Postes vacants au Conseil;Ratspositionen nicht besetzt;;Puestos disponibles en el Consejo;;;;;;;;;x
alert_lose_title_on_succ_name;¼Ì³ĞÊ±Ê§È¥Í·ÏÎ;Perte de titre lors de la succession;Titel geht bei Nachfolge verloren;;Título perdido en la Sucesión;;;;;;;;;x
alert_should_nominate_heir_name;Ö¸¶¨¼Ì³ĞÈË;Nomination d'un successeur;Nachfolgenominierung;;Nominar Sucesor;;;;;;;;;x
alert_you_can_create_titles_name;¿ÉÒÔ´´Á¢Í·ÏÎ;Des titres peuvent être créés;Es können Titel geschaffen werden;;Puedes crear títulos;;;;;;;;;x
