;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESC_CM_1181;[From.GetDynName] ¾ö¶¨³ÉÎªËı[From.GetSonDaughter],  [From.GetTitledFirstName],µÄÉãÕş.Äã¶Ô´ËËÆºõÎŞÄÜÎªÁ¦...;[From.GetDynName] a décid?qu'elle assumerait la régence de s[From.GetHerHis] [From.GetSonDaughter],  [From.GetTitledFirstName]. Il semble que vous ne puissiez rien y faire...;[From.GetDynName] hat beschlossen, die Regentschaft in Vertretung ihres Kindes [From.GetTitledFirstName] zu übernehmen. Dagegen seid Ihr wohl machtlos ?;[From.GetDynName] ha decidido que ella se har?cargo de la regencia de su [From.GetSonDaughter], [From.GetTitledFirstName]. No podrás hacer nada al respeto...;;;;;;;;;x
EVTOPTA_CM_1181;ÎÒÖªµÀÁË...;Je vois...;Ich verstehe ...;;Ya veo...;;;;;;;;;x
EVTOPTB_CM_1181;ÎÒ²»ÕâÃ´Ïë!;Je ne pense pas?;Das glaube ich kaum!;;¡No opino lo mismo!;;;;;;;;;x
EVTDESC_CM_1182;ÄãµÄÄ¸Ç× [FromFrom.GetFirstName] ÈÏÎªËı´úÌæ[From.GetTitledFirstName]³ÉÎªÄãµÄÉãÕşÊÇ×îºÃÑ¡Ôñ.;Votre mère [FromFrom.GetFirstName] a décid?qu'elle ferait une meilleure régente que [From.GetTitledFirstName].;Eure Mutter [FromFrom.GetFirstName] hat beschlossen, an Stelle von [From.GetTitledFirstName] die Regentschaft zu übernehmen.;;Tu madre [FromFrom.GetFirstName] ha decidido que es preferible que sea ella quien gobierne como tu regente en lugar de [From.GetTitledFirstName].;;;;;;;;;x
EVTOPTA_CM_1182;ÎÒÏàĞÅÎÒÂèÂèÊÇ×îºÃµÄ.;J'ai confiance en son jugement.;Sicher wei?sie, was am besten ist.;;Seguro que ella sabe qu?es lo más conveniente.;;;;;;;;;x
EVTOPTB_CM_1182;ºß... µ½µ×Ë­ÊÇ [From.PrimaryTitle.GetTier]µÄÖ÷ÈË?;Hum... Qui dirige vraiment ce [From.PrimaryTitle.GetTier]?;Hmm ... wer herrscht eigentlich hier im [From.PrimaryTitle.GetTier]?;;Mmm... ¿quien gobierna en realidad, este [From.PrimaryTitle.GetTier]?;;;;;;;;;x
EVTDESC_CM_1192;ÓĞÒ»¸öÁîÈË²»°²È´ÓÖÓĞÃ¼ÓĞÑÛµÄÒ¥ÑÔÖ¸ÄãµÄÄ¸Ç×[Root.Mother.GetFirstName]ÊÔÍ¼¹´ÒıÄãµÄ[From.GetHusbandWife][From.GetFirstName]£¬²¢ÇÒÁ½ÈË±³×ÅÄã·¢ÉúÁËÈâÌå¹ØÏµ...;Des rumeurs tenaces et détaillées parlent de votre mère [Root.Mother.GetFirstName] en train de séduire votre [From.GetHusbandWife], [From.GetFirstName], avec qui elle entretient des relations charnelles dans votre dos...;Hartnäckig hält sich das Gerücht, dass Eure Mutter [Root.Mother.GetFirstName] Euren angetrauten Partner [From.GetFirstName] hinter Eurem Rücken zu sündigen Taten verführt haben soll ...;;Corren rumores inquietantes y persistentes de que tu madre [Root.Mother.GetFirstName] se las ha arreglado para seducir a tu [From.GetHusbandWife] [From.GetFirstName]. Mantienen relaciones carnales a tus espaldas...;;;;;;;;;x
EVTOPTA_CM_1192;ÎÒ¿Ï¶¨ÊÇ×ÓĞéÎÚÓĞµÄÊÂÇé.;Sûrement un malentendu.;Das sind sicher blo?Gerüchte.;;Seguro que no es nada.;;;;;;;;;x
EVTOPTC_CM_1192;Ô­À´ÊÇÕâÑù,Ä¸Ç×´óÈËÓ¦¸Ã±»ËÍÈ¥ĞŞµÀÔº!.;J'en ai assez. Mère ira au couvent.;Es reicht. Mutter wird in ein Kloster verfrachtet.;;Decidido. Madre ser?enviada a un convento.;;;;;;;;;x
EVTOPTB_CM_1192;ÌìÄÄ,ÎÒ±ØĞë°Ñ [From.GetFirstName] ÇıÖğ.;Hélas, je dois renvoyer [From.GetFirstName].;Tja, dann werde ich [From.GetFirstName] wohl verbannen müssen.;;Vaya, debo echar a [From.GetFirstName].;;;;;;;;;x
