;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
REL_CAPTOR;´ş²¶Õß;Ravisseur;Eroberer;;Captor;;;;;;;;;x
PALACE_NAME;$DYNASTY$ Õ¬Û¡;Palais de $DYNASTY$;$DYNASTY$-Palast;;Palacio de $DYNASTY$;;;;;;;;;x
family_palace;Õ¬Û¡;Palais familial;Palast;;Palacio;;;;;;;;;x
family_palace_baron;¹óÈË;Patricien;Patrizier;;Patricio;;;;;;;;;x
family_palace_baron_female;¹ó¸¾;Dame;Lady;;Señora;;;;;;;;;x
family_palace_barony_of;Õ¬Û¡;Palais de;Palast von;;Palacio de;;;;;;;;;x
family_palace_baron_foa;¸óÏÂ;Messire;Sir;;Señor;;;;;;;;;x
family_palace_baron_deed;Ö÷¹Ù;Siège de;Sitz von;;Consejo de;;;;;;;;;x
fp_mansion_1;×¯Ô°;Manoir;Herrenhaus;;Mansión;;;;;;;;;x
fp_mansion_2;´ó×¯Ô°;Grande demeure;Großes Herrenhaus;;Gran Mansión;;;;;;;;;x
fp_mansion_3;¹¬µî;Palais;Palast;;Palacio;;;;;;;;;x
fp_mansion_4;ºÀ»ª¹¬µî;Grand palais;Herrschaftlicher Palast;;Gran Palacio;;;;;;;;;x
fp_barracks_1;ÎÀ¶ÓÓª·¿;Caserne de la Garde;Kasernen der Wache;;Barracones de la Guardia;;;;;;;;;x
fp_barracks_2;Öı½£Ëù;Forge;Schwertschmied;;Herrero;;;;;;;;;x
fp_barracks_3;¾üĞµ¿â;Armurerie;Rüstkammer;;Armería;;;;;;;;;x
fp_stable_1;Ğ¡Âí¾Ç;Écurie;Kleiner Stall;;Establo Pequeño;;;;;;;;;x
fp_stable_2;ÅÜÂí³¡;Manège;Reitplätze;;Campos de Monta;;;;;;;;;x
fp_stable_3;ÓıÂíËù;Élevage de chevaux;Pferdezüchter;;Criador de Caballos;;;;;;;;;x
fp_bowyer_1;ÖÆ¹­·¿;Archerie;Bogenbauer;;Fabricante de Arcos;;;;;;;;;x
fp_bowyer_2;°Ğ³¡;Champ de tir;Zielübungsplatz;;Campo de Tiro;;;;;;;;;x
fp_bowyer_3;ÖÆåó¹¤·»;Atelier d'arbalètes;Armbrust-Werkstatt;;Taller de Ballestas;;;;;;;;;x
fp_shipyard_1;µØÍ¼ÊÒ;Maison des portulans;Kartenraum;;Sala de Mapas;;;;;;;;;x
fp_shipyard_2;Ë½Óª´¬³§;Chantier naval;Private Werft;;Astillero Privado;;;;;;;;;x
fp_shipyard_3;º£¾ü±ø¹¤³§;Arsenal;Marine-Waffenlager;;Arsenal Naval;;;;;;;;;x
fp_warehouse_1;¾ü»ğ¿â;Entrepôt militaire;Militärisches Lagerhaus;;Almacén Militar;;;;;;;;;x
fp_warehouse_2;µµ°¸¹İ;Archives du Palais;Palast-Archiv;;Archivo de Palacio;;;;;;;;;x
fp_warehouse_3;ĞĞÕş°ìÊÂ´¦;Bureaux;Verwaltungsbüro;;Oficina Administrativa;;;;;;;;;x
fp_garden_1;Õ¬Û¡»¨Ô°;Jardins du palais;Palastgarten;;Jardín de Palacio;;;;;;;;;x
fp_garden_2;¾°¹Û³Ø;Bassins et fontaines;Malerischer Teich;;Estanque Pintoresco;;;;;;;;;x
fp_garden_3;Ê÷ÀéÃÔ¹¬;Labyrinthe;Hecken-Labyrinth;;Laberinto;;;;;;;;;x
fp_cellar_1;¾Æ½Ñ;Cave;Weinkeller;;Bodega;;;;;;;;;x
fp_cellar_2;ÁêÇŞ;Hypogée;Katakomben;;Catacumbas;;;;;;;;;x
fp_cellar_3;µØÀÎ;Cachots;Kerkerkomplex;;Complejo de Calabozos;;;;;;;;;x
fp_shrine_1;Æ§¾²Ê¥ìô;Sanctuaire isol?Abgelegener Schrein;;Santuario Recóndito;;;;;;;;;x
fp_shrine_2;Ë½ÈËÒÕÊõÊÕ²Ø¹İ;Galerie d'art;Private Kunstsammlung;;Colección Privada de Arte;;;;;;;;;x
fp_shrine_3;´óÍ¼Êé¹İ;Grande bibliothèque;Große Bibliothek;;Gran Biblioteca;;;;;;;;;x
fp_vault_1;¼á¹Ì±¦¿â;Chambre forte;Verstärkte Schatzkammer;;Cámara Acorazada;;;;;;;;;x
fp_vault_2;ÃØµÀ;Passages secrets;Geheimgänge;;Pasajes Secretos;;;;;;;;;x
fp_vault_3;°µÊÒ;Chambre secrète;Geheimraum;;Cámara Oculta;;;;;;;;;x
fp_mansion_1_desc;Õâ¸ö×¯Ô°ÊÀ´úÊôÓÚÕâ¸ö¼Ò×å£¬¼´±ãËü²¢²»ÊÇÄÇÃ´ÁîÈË²àÄ¿£¬µ«¿É¾¡ÏíÒ»ÇĞ¼ÒÖĞµÄÊæÊÊ¡£;Cette grande demeure appartient ?la famille depuis des générations. Elle n'est pas très impressionnante mais reste très confortable et cossue.;Dieses Herrenhaus ist seit Generationen im Besitz dieser Familie, und auch wenn es nicht sehr beeindruckend aussieht, besitzt es jeglichen Komfort eines Hauses. ;;Esta mansión ha pertenecido a esta familia durante generaciones, y aunque no parezca impresionante, tiene todas las comodidades del hogar.;;;;;;;;;x
