;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
e_germany;日耳曼尼亚;Germanie;Ostfrankenreich;;Germania;;;;;;;;;x
e_germany_adj;日耳曼;germanique;Deutsch;;Germano;;;;;;;;;x
k_lotharingia;中法兰克;Francie M閐iane;Mittleres Frankenreich;;Francia Media;;;;;;;;;x
k_lotharingia_adj;洛泰尔尼亚;franque m閐iane;Mittelfr鋘kisch;;Franc閟 de la Francia Media;;;;;;;;;x
LOTHARINGIA;洛林;Lotharingie;Lothringen;;Lotaringia;;;;;;;;;x
LOTHARINGIA_ADJ;洛林;lotharingienne;Lothringisch;;Lotaringiano;;;;;;;;;x
form_the_hre_early;建立神圣罗马帝国;Fonder le Saint-Empire romain;Gr黱det das Heilige R鰉ische Reich;;Fundar el Sacro Imperio Romano;;;;;;;;;x
form_the_hre_early_desc;难道每个[Root.GetTitle]的梦想不都是被拥为恺撒?我可以宣称帝国接替并让[Root.RelHead.GetBestName]加冠我为西方罗马的新皇帝！;N'est-ce pas le r陃e de tout[Root.GetNoneE] [Root.GetTitle] que d'阾re reconnu[Root.GetNoneE] comme 閠ant le successeur l間itime des C閟ar? Nous pouvons invoquer la 珷translatio imperii牷 et le [Root.RelHead.GetBestName] me couronnera souverain[Root.GetNoneE] d'un nouvel Empire romain en Occident?;Ist es nicht der Traum jedes [Root.GetTitle], als der wahre Erbe Caesars anerkannt zu werden? Nach dem Prinzip der translatio imperii kann ich mich von [Root.RelHead.GetBestName] zum Herrscher des neuen westr鰉ischen Reiches kr鰊en lassen!;;縉o es el sue駉 de todo [Root.GetTitle] ser reconocido como el verdadero sucesor de los C閟ares? uedo convocar el translatio imperii y hacer que [Root.RelHead.GetBestName] me corone como gobernante del nuevo Imperio Romano de Occidente!;;;;;;;;;x
form_the_hre_early_tooltip_1;是意大利的[Root.GetKingQueen]或意大利帝国的[Root.GetEmperorEmpress]\n;[Root.GetKingQueen] d'Italie ou [Root.GetEmperorEmpress] d'Italie\n;Ist [Root.GetKingQueen] oder [Root.GetEmperorEmpress] von Italien\n;;Es [Root.GetKingQueen] de Italia o [Root.GetEmperorEmpress] de Italia\n;;;;;;;;;x
form_the_hre_early_tooltip_2;至少在法兰西帝国、日耳曼帝国、西班牙帝国或不列颠帝国法理领土内拥有一个王国或帝国头衔\n;D閠ient au moins un titre de royaume ou d'empire ?l'int閞ieur des empires de jure de Francie, Germanie, Hispanie ou Bretagne\n;Herrscher 黚er mindestens ein K鰊igreich oder Reich innerhalb des De-jure-Gebiets von Frankreich, Ostfrankenreich, Hispanien oder Britannien.\n;;Ostenta al menos un t韙ulo de reino o imperio dentro de los imperios de Francia, Germania, Hispania o Britania\n;;;;;;;;;x
form_the_hre_early_tooltip_3;意大利帝国，法兰西帝国，日耳曼帝国，西班牙帝国和不列颠帝国均无基督教所有者\n;Aucun autre souverain chr閠ien n'est empereur de Francie, Germanie, Hispanie, Bretagne ou Italie\n;Kein anderer christlicher Herrscher ist Kaiser von Italien, Frankreich, Ostfrankenreich, Hispanien oder Britannien.\n;;Ning鷑 otro gobernante cristiano es Emperador de Italia, Francia, Hispania o Britania\n;;;;;;;;;x
frankish;法兰西人;fran鏰ise;Franz鰏isch;;Franc閟;;;;;;;;;x
old_frankish;法兰克人;franque;Fr鋘kisch;;Franco;;;;;;;;;x
old_saxon;萨克森人;saxonne;S鋍hsisch;;Saj髇;;;;;;;;;x
lombard;伦巴第人;lombarde;Lombardisch;;Lombardo;;;;;;;;;x
visigothic;西哥特人;wisigothe;Westgotisch;;Visigodo;;;;;;;;;x
somali;索马里人;somalienne;Somalisch;;Somal?;;;;;;;;x
suebi;苏维汇人;su鑦e;Suebisch;;Suevo;;;;;;;;;x
ilmenian;伊门尼安人;ilmenienne;Ilmenisch;;Ilmeniano;;;;;;;;;x
severian;塞维利安人;s関鑢e;Sewerjanisch;;Severiano;;;;;;;;;x
volhynian;沃里尼亚人;volhynienne;Wolynisch;;Volhyniano;;;;;;;;;x
d_powys;波伊斯;Powys;Powys;;Powys;;;;;;;;;x
d_powys_adj;波伊斯;powyse;Powyser;;Powys;;;;;;;;;x
BM_CHARLEMAGNE;查理大帝;Charlemagne;Karl der Gro遝;;Carlomagno;;;;;;;;;x
LOMBARD_KINGDOM;伦巴第;Lombardie;Lombardei;;Lombard韆;;;;;;;;;x
LOMBARD_KINGDOM_ADJ;伦巴第;lombarde;Lombardisch;;Lombardo;;;;;;;;;x
k_lombardy;伦巴第;Lombardie;Lombardei;;Lombard韆;;;;;;;;;x
