;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
CONVERTING;×ª±ä;CONVERSION;KONVERTIERUNG;;CONVERSIÓN;;;;;;;;;x
opinion_humiliated_family;±»ĞßÈèµÄ¼ÒÍ¥;A humili?un parent éloign?Erniedrigte Familie;;Familia humillada;;;;;;;;;x
opinion_humiliated_close_kin;±»ĞßÈèµÄ½üÇ×;A mutil?un proche parent;Hat engen Verwandten erniedrigt;;Parientes cercanos humillados;;;;;;;;;x
gov_mercenary;¹ÍÓ¶±ø¾üÍÅ;Bande mercenaire;Söldnertrupp;;Banda de mercenarios;;;;;;;;;x
RULE_NOMAD_STABILITY;§BÂíÉÏÖ®Íõ£º§!ÓÎÄÁÎÈ¶¨¶È;Stabilit?nomade (§BSeigneurs de cavalerie?);§BFürsten der Steppe:? Nomadenstabilität;;§BSeñores a caballo:? Estabilidad nómada;;;;;;;;;x
RULE_OPTION_NOMAD_STABILITY_UNSTABLE;²»ÎÈ¶¨;Instable;Instabil;;Inestable;;;;;;;;;x
RULE_OPTION_NOMAD_STABILITY_UNSTABLE_DESC;ÓÎÄÁ²¿ÂäµÄ·â³¼ÔÚ´óº¹µÄ¼Ì³ĞÖĞÓĞ»ú»áĞû²¼¶ÀÁ¢¡£ºóĞøÍ³ÖÎÕßÔò¿ÉÒÔÕıµ±µØÖØĞÂĞû³ÆÆäÍÁµØ¡£;Lors de la succession du khagan, les vassaux des hordes nomades peuvent déclarer l'indépendance. Le successeur obtiendra un casus belli pour récupérer les terres.;Nach der Thronfolge des Khagan haben die Vasallen der nomadischen Horden die Gelegenheit, die Unabhängigkeit zu erklären. Der Thronfolger hat guten Grund, das Land zurückzuerobern.;;Tras suceder a los kagan, los vasallos de las hordas nómadas tienen la oportunidad de proclamar la independencia. El sucesor tendr?una causa justa para reclamar las tierras.;;;;;;;;;x
RULE_OPTION_NOMAD_STABILITY_STABLE;ÎÈ¶¨;Stable;Stabil;;Estable;;;;;;;;;x
RULE_OPTION_NOMAD_STABILITY_STABLE_DESC;ÓÎÄÁ·â³¼ÔÚ´óº¹µÄ¼Ì³ĞÖĞÃ»ÓĞ»ú»á¶ÀÁ¢¡£;Les vassaux nomades n'ont pas la possibilit?de déclarer l'indépendance ?la succession du khagan.;Die Nomadenvasallen haben NICHT die Gelegenheit, sich bei der Thronfolge des Khagan unabhängig zu machen.;;Los vasallos nómadas NO tendrán la oportunidad de independizarse tras la sucesión de los kagan.;;;;;;;;;x
RULE_DE_JURE_REQUIREMENT;·¨ÀíÒªÇó;Conditions de jure;De Jure-Anforderung;;Requisito de iure;;;;;;;;;x
RULE_DE_JURE_REQUIREMENT_DEFAULT_DESC;ÓĞ·¨ÀíÁìµØµÄÍ·ÏÎÎŞÂÛºÎÖÖÇé¿ö¶¼»á±»±£Áô¡£;Les titres avec des terres de jure seront conservés quelles que soient les circonstances.;Titel von De-jure-Ländereien werden ungeachtet der Umstände behalten.;;Se mantendrán los títulos con tierras de iure independientemente de las circunstancias.;;;;;;;;;x
RULE_OPTION_DE_JURE_REQUIREMENT_REQUIRED;±ØĞëÓµÓĞ;Requis;Erforderlich;;Obligatorio;;;;;;;;;x
RULE_OPTION_DE_JURE_REQUIREMENT_REQUIRED_DESC;Èç¹ûÒ»¸ö½ÇÉ«ÔÚÆäÁìµØÖĞ²»ÓµÓĞÄ³Í·ÏÎÏÂµÄÈÎºÎ·¨ÀíÁìµØ£¬ÓĞ·¨ÀíÁìµØµÄÍ·ÏÎ×îÖÕ»á±»Ïú»Ù¡£;Un titre avec des terres de jure sera détruit si le détenteur n'a aucune de ces terres dans son pays.;Titel mit De-jure-Ländereien werden irgendwann zerstört, wenn ein Charakter in seinem Reich keine De-jure-Ländereien des Titels innehat.;;Si un personaje ostenta unas tierras que no sean de iure para su título dentro de sus dominios, los títulos con tierras de iure se acabarán destruyendo.;;;;;;;;;x
