;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
set_government_type;ÕşÌå¸Ä±äÎª§Y$GOVERNMENT$§!\n;Le type de gouvernement a ét?chang?en §Y$GOVERNMENT$?\n;Regierungsform ist nun §Y$GOVERNMENT$?\n;;Gobierno se cambia a §Y$GOVERNMENT$?\n;;;;;;;;;x
feudal_government;·â½¨ÖÆ;Féodalit?Feudal;;Feudal;;;;;;;;;x
republic_government;¹²ºÍÖÆ;République;Republik;;república;;;;;;;;;x
merchant_republic_government;ÉÌÒµ¹²ºÍÖÆ;République marchande;Handelsrepublik;;República mercante;;;;;;;;;x
theocracy_government;ÉñÈ¨ÖÆ;Théocratie;Theokratie;;teocracia;;;;;;;;;x
muslim_government;ÒÁ¿ËËşÖÆ;Iqt?Iqta;;Iqta;;;;;;;;;x
tribal_government;²¿ÂäÖÆ;Organisation tribale;Stammesregierung;;Tribal;;;;;;;;;x
RETCAP_FROM_GOVERNMENT;ÓÉÓÚÕşÌå£º$AMOUNT$\n;Du gouvernement? $AMOUNT$\n;Durch Regierungsform: $AMOUNT$\n;;Del gobierno: $AMOUNT$\n;;;;;;;;;x
GOVERNMENT_CANNOT_CREATE_KINGDOMS;ÉñÈ¨¹ú¡¢ÆïÊ¿ÍÅºÍ¹ÍÓ¶±øÍÅÎŞ·¨³ÉÁ¢Íõ¹ú£¡;Les théocraties, ordre sacrés et mercenaires ne peuvent pas créer de royaumes?;Theokratien, Orden und Söldner können keine Königreiche gründen!;;¡Teocracias, órdenes sagradas y mercenarios no pueden crear reinos!;;;;;;;;;x
GOVERNMENT_CANNOT_USURP_KINGDOMS_AND_EMPIRES;ÉÌÒµ¹²ºÍ¹úºÍ¹óÈËÎŞ·¨´Û¶áÍõ¹ú»òÕßµÛ¹úÍ·ÏÎ;Les républiques marchandes et les patriciennes ne peuvent pas usurper de royaumes ou d'empires;Handelsrepubliken und Patrizier können keine Königreiche oder Reiche usurpieren;;Repúblicas mercantes y patricios no pueden usurpar reinos o imperios.;;;;;;;;;x
GAME_STATE_WAS_CORRUPTED;ÓÎÏ·×´Ì¬ÒÑËğ»µ¡£ÇëÖØÆôÓÎÏ·¡£;La partie est endommagée. Veuillez redémarrer le jeu.;Spieldaten fehlerhaft. Bitte Spiel neu starten.;;El estado del juego se ha corrompido. Por favor, reinicia el juego.;;;;;;;;;x
TRIBAL_TAX;²¿ÂäË°;Impôt tribal;Stammesbesteuerung;;Impuesto tribal;;;;;;;;;x
GOVERNMENT_CANT_BUILD_HOLDINGS;§R$GOVERNMENT$Í³ÖÎÕß²»ÄÜ½¨ÔìĞÂµÄµØ²ú§!;Les dirigeants d'un gouvernement de type '§R$GOVERNMENT$' ne peuvent pas construire de nouvelles propriétés?;Herrscher der Form §R$GOVERNMENT$ können keine neuen Liegenschaften errichten?;;¡Los gobernantes de §R$GOVERNMENT$ no pueden construir nuevas Posesiones?;;;;;;;;;x
