;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTNAME62951;ÀÊÄÉ¶ûµÄ×çÖä;Malédiction de Ragnarr;Ragnarr's Fluch;;La maldición de Ragnarr;;;;;;;;;x
EVTDESC62951;Å³ÈõµÄ°£À­¹úÍõ¹òÔÚÎÒÃæÇ°µÄÄàÌ²Àï,Ëû²»¸Ò¿´ÎÒµÄÑÛ¾¦.ÎÒµÄÕ½Ê¿ÃÇÎªÁËºÃºÃ"ÕĞ´ı"Ëû,Ïë³öÁË¸÷ÖÖ±ğ³öĞÄ²ÃµÄĞÌ·£.ÎÒÈÃ´ó¼Ò°²¾²ÏÂÀ´,¶ÙÊ±ËÄÖÜÒ»Æ¬ËàÄÂ,µ«ÖÚÈËµÄĞÄÇé¶¼ÈçÍ¬ÔÚ·çÖĞ¹Ä¶¯µÄ½ğÎÚÆìÖÄÒ»°ã¿ÊÇóÖÕ½áÕâ¸ö´óÄÑÁÙÍ·µÄ¼Ò»ïµÄĞÔÃü.ÏÖÔÚÊÇÎªÎÒËÀÈ¥µÄ¸¸Ç×,ÀÉÄÉ¶û¸´³ğµÄÊ±¿ÌÁË...;Ælla, le roi lâche, s'agenouille dans la boue devant moi en baissant le regard. Les hommes demandent différents châtiments ?certains étant plus créatifs que d'autres. J'appelle au silence. Le calme tombe tandis que la bannière du corbeau bat au gr?d'un vent violent au-dessus de l'homme maudit. L'heure est venue de venger mon défunt père, Ragnarr...;Der feige König Ælla kniet vor mir im Staub und wagt es nicht, mir in die Augen zu sehen. Die Männer fordern die verschiedensten Strafen, manche davon sehr originell. Ich gebiete Ruhe und die Männer verstummen, während das Rabenbanner über dem Todgeweihten munter flattert. Nun schlägt die Stunde der Rache. Vergeltung für meinen toten Vater Ragnarr...;;El rey cobarde Ælla est?de rodillas ante de m?en el barro, negándose a mirarme a los ojos. Los hombres claman varios castigos, algunos más creativos que otros. Pido silencio y este cae igual que el estandarte del cuervo ondea con entusiasmo encima del hombre condenado. Es el momento de vengar a mi difunto padre, Ragnarr.;;;;;;;;;x
EVTOPTA62951;°ÑÕâ¼Ò»ï×ö³ÉÑªÓ¥!;Mutilez l'Aigle de sang?;Bestraft ihn mit einem Blutadler!;;!Esculpe el águila de sangre!;;;;;;;;;x
EVTOPTB62951;°ÑËûÏ×¼À¸ø°Â¶¡!;Sacrifiez-le ?Odin?;Bringt ihn Odin zum Opfer dar!;;!Sacrifícale a Odín!;;;;;;;;;x
EVTOPTC62951;°ÑËûÉíÉÏµÄËÄ¸öÇòÏ×¸ø°Â¶¡µÄÎÚÑ»!;Quatre balles pour les Corbeaux?;Reißt ihm die Augen und Hoden heraus!;;!Cuatro pelotas para los Cuervos!;;;;;;;;;x
EVTOPTD62951;ÎÒ¶Ô°£À­ÁíÓĞ´¦ÖÃ...;J'ai d'autres plans pour Ælla...;Ich habe andere Pläne mit Ælla ...;;Tengo otros planes para Ælla...;;;;;;;;;x
EVTDESC62952;ÕâÈºÂù×ÓÃÇÍÚµôÎÒµÄÑÛ¾¦Ç°µÄ×îºóÒ»¿Ì,ÎÒ¿´µ½µÄÊÇ[From.GetFirstName]Á³ÉÏ²Ğ¿á¶øÓÖ¿Ö²ÀµÄĞ¦Èİ.ÎÒÊÔ×ÅòéËõÆğÀ´ÒòÎªËûÃÇ´òËãÒªÑËÁËÎÒ...;La dernière chose que j'ai vue avant que ces sauvages hérétiques ne m'arrachent les yeux, ce fut un infâme sourire sur le visage de [From.GetFirstName]. J'ai tent?de me recroqueviller alors qu'ils se préparaient ?m'émasculer...;Das Letzte, was ich sah, bevor mir diese heidnischen Wilden die Augen aus dem Kopf schnitten, war das schreckliche Grinsen von [From.GetFirstName]. Ich versuchte, mich zusammenzukrümmen, als sie sich anschickten, mich zu entmannen ...;;La œltima cosa que vi antes de los salvajes paganos me sacaran los ojos fue la sonrisa horrible en la cara de [From.GetFirstName]. Trat?de acurrucarme mientras se preparaban a quitarme la virilidad...;;;;;;;;;x
EVTOPTA62952;°¡°¡°¡°¡°¡°¡!;ARRRRGH?;ARRRRGH!;;Raaabiaaa!;;;;;;;;;x
AIREASON_IN_OTHER_WAR;ÁíÒ»³¡Õ½Õù;Dans une autre guerre;In einem anderen Krieg;;En otra guerra;;;;;;;;;x
AIREASON_BUSY_RAIDING;Ï®»÷;En train de piller;Auf Raubzug;;Asaltando;;;;;;;;;x
WRONG_RELIGION_MODIFIER;´íÎóµÄĞÅÑö;Mauvaise religion;Falsche Religion;;Religión incorrecta;;;;;;;;;x
WRONG_CULTURE_MODIFIER;´íÎóµÄÎÄ»¯;Mauvaise culture;Falsche Kultur;;Cultura incorrecta;;;;;;;;;x
opinion_infidel_tribal_liege;Òì½ÌÍ½;Infidèle;Ungläubiger;;Infiel;;;;;;;;;x
opinion_heretic_tribal_liege;Òì¶Ë;Hérétique;Ketzer;;Hereje;;;;;;;;;x
opinion_related_religion_tribal_liege;×Ú½Ì²îÒì;Différences religieuses;Religiöse Unterschiede;;Diferencias religiosas;;;;;;;;;x
AIREASON_TRIBAL_VASSAL_PRESTIGE_HIT;½«»áÏûºÄÎÒ¹ı¶àµÄÍşÍû;Coûterait trop de prestige;Die Prestigekosten wären zu hoch;;Me costaría demasiado prestigio;;;;;;;;;x
opinion_granted_other_vice_royalty;·â½¨Ö÷¶ÔÈÎÃü×Ü¶½Ò»ÊÂµÄ¿´·¨;Opinion féodale pour l'attribution de vice-royautés;Feudalmeinung für vergebene Vizekönigreiche ;;Opinión feudal sobre nombrar virreyes;;;;;;;;;x
GRANT_VICE_ROYALTY_INTERACTION_8;ÈÎÃü×Ü¶½»á½µµÍÄãËùÓĞ·â½¨¹«¾ô»òÒÔÉÏ·â³¼¶ÔÄãµÄ¿´·¨£º§R$OPINION$§!¡£;Attribuer une vice-royaut?diminuera de §R$OPINION$? l'opinion envers vous de vos vassaux de rang ducal et royal.;Das Einsetzen eines Vizekönigs wird euer Ansehen bei euren Herzogs- und Königsvasallen um §R$OPINION$? senken. ;;Nombrar a un virrey reducir?la opinión de tus duques feudales y de los súbditos del rey en §R$OPINION$?.;;;;;;;;;x
NOT_ANY_PREVIOUS_HOLDER_STARTS;²¢ÎŞÇ°ÈÎ;Aucun titulaire antérieur;Kein früherer Inhaber;;Sin dueño anterior;;;;;;;;;x
tribal_build_zeal_ARMY_OF;$RELIGION$ ¿ñÈÈÕß $CHARACTER$;Fanatiques de foi $RELIGION$ de $CHARACTER$;$RELIGION$ Zeloten von $CHARACTER$;;$RELIGION$ fanáticos $CHARACTER$ ;;;;;;;;;x
tribal_organize_raid_ARMY_OF;ÈëÇÖÕß $CHARACTER$;Pillards de $CHARACTER$;Plünderer von $CHARACTER$;;$CHARACTER$ incursores;;;;;;;;;x
tribal_build_legend_ARMY_OF;Õ½Ê¿ $CHARACTER$;Guerriers de $CHARACTER$;Krieger von $CHARACTER$;;$CHARACTER$ guerreros;;;;;;;;;x
tribal_build_zeal_ARMY;$RELIGION$ ¿ñÈÈÕß;Fanatiques de foi $RELIGION$;$RELIGION$ Zeloten;;$RELIGION$ fanáticos;;;;;;;;;x
tribal_organize_raid_ARMY;ÈëÇÖÕß;Troupe pillarde;Plünderer;;Incursores;;;;;;;;;x
tribal_build_legend_ARMY;Õ½Ê¿;Troupe guerrière;Krieger;;Guerreros;;;;;;;;;x
expel_saint_anthony;ÇıÖğÊ¥°²¶«ÄáÆïÊ¿ÍÅ;Expulser l'Ordre de saint Antoine;Vertreibt den Orden des Heiligen Antonius;;Expulsar a la Orden de San Antonio;;;;;;;;;x
expel_saint_anthony_desc;ÎÒ¿ÉÒÔ½«Ê¥°²¶«ÄáÆïÊ¿ÍÅ´ÓÎÒµÄ¹úÍÁÉÏ¸Ï×ß²¢°ÔÕ¼ËûÃÇµÄÁìµØ.µ«ÕâÃ´×öÊÇÙôäÂÉñÁé...;Je peux expulser l'Ordre de saint Antoine de mon territoire et m'emparer de leurs châteaux. Ce serait par contre un acte des plus impies...;Ich kann den Orden des Heiligen Antonius aus meinem Reich vertreiben und mir ihre Burgen aneignen. Das ist jedoch eine sehr unfromme Tat ...;;Puedo echar a la Orden de San Antonio de mi reino y apoderarme de sus castillos. Sin embargo, es una acción muy impía...;;;;;;;;;x
ISNT_CROWN_LAW_TITLE;²»ÊÇ·¨ÀíÍõ¹úÍ·ÏÎ;Ceci n'est pas un titre du droit de la Couronne;Ist kein Titel des Kronrechts;;No es un título de Derecho de la Corona;;;;;;;;;x
IS_CROWN_LAW_TITLE;ÊÇ·¨ÀíÍõ¹úÍ·ÏÎ;Ceci est un titre du droit de la Couronne;Ist ein Titel des Kronrechts;;Es un título legal de la Corona;;;;;;;;;x
LAW_UNLOCKS;½âËø·¨ÂÉ: ;Lois débloquées? ;Gesetze freigeschaltet:;;Leyes desbloqueadas:;;;;;;;;;x
DECISION_UNLOCKS;½âËø¾öÒé: ;Décisions débloquées? ;Entscheidungen freigeschaltet: ;;Decisiones desbloqueadas: ;;;;;;;;;x
ALLOW_FREE_DUCHY_REVOKATION_ON;¿ÉÒÔÎŞ³¥°ş¶á¹«¾ôÍ·ÏÎ.\n;Aucune pénalit?pour la révocation des titres de duch?\n;Freie Aberkennung von Herzogstiteln.\n;;Permite revocación de títulos de ducados.;;;;;;;;;x
ALLOW_FREE_DUCHY_REVOKATION_OFF;²»¿ÉÎŞ³¥°ş¶á¹«¾ôÍ·ÏÎ.\n;Pénalités applicables pour la révocation des titres de duch?\n;Keine weitere freie Aberkennung von Herzogstiteln.\n;;No permite la revocación de títulos de ducados.;;;;;;;;;x
LIEGE_LEVY_DESC_VICE_ROY;\n   ×Ü¶½: $VALUE$;\n   Vice-royauté : $VALUE$;\n   Vizekönigreich: $VALUE$;;\n  Virreinato: $VALUE$;;;;;;;;;x
TITLE_NOT_VICE_ROYALTY;Í·ÏÎ²»ÊÇ×Ü¶½;Ce titre n'est pas une vice-royaut?;Titel ist kein Vizekönigreich;;El título no es un virreinato;;;;;;;;;x
tribal_king_female;Å®Íõ;Reine;Königin;;Reina;;;;;;;;;x
tribal_emperor_female;Å®»Ê;Impératrice;Kaiserin;;Emperatriz;;;;;;;;;x
temple_duke_female_pagan_group;Å®´ó¼ÀË¾;Archiprêtresse;Erzpriesterin;;Reina sacerdotisa;;;;;;;;;x
temple_king_female_pagan_group;Î×ºó;Reine-prêtresse;Priesterkönigin;;Reina Sacerdotisa;;;;;;;;;x
temple_emperor_female_pagan_group;Å®Î×µÛ;Empereur;Kaiser;;Emperador;;;;;;;;;x
AIREASON_SAME_RELIGION_AS_REGENT;ºÍÎÒÍ¬ÊôÒ»¸ö×Ú½Ì£¿;Religion identique ?la mienne;Gehört meiner Religion an;;La misma religión que yo;;;;;;;;;x
expel_the_haruriyyah;ÇıÖğ¹şÀïÂ³Ò®ÅÉ;Expulser les Haruriyyah;Vertreibt die Haruriyyah;;Expulsar a los Haruriyyah;;;;;;;;;x
expel_the_haruriyyah_desc;ÎÒ¿ÉÒÔ½«¹şÀïÂ³Ò®ÅÉ´ÓÎÒµÄ¹úÍÁÉÏ¸Ï×ß²¢°ÔÕ¼ËûÃÇµÄÁìµØ.µ«ÕâÃ´×öÊÇÙôäÂÉñÁé....;Je peux expulser les Haruriyyah de mon territoire et m'emparer de leurs châteaux. Ce serait par contre un acte des plus impies...;Ich kann die Haruriyyah aus meinem Reich vertreiben und ihre Burgen beschlagnahmen. Allerdings wäre das leider nicht sehr fromm ...;;Puedo manejar a los Haruriyyah de mi reino y arrebatarles sus castillos. No obstante, eso sería una acción muy impía...;;;;;;;;;x
borrow_money_haruriyyah;½è300¤¸ø¹şÀïÂ³Ò®ÅÉ;Emprunter 300?aux Haruriyyah;Leiht Euch 300?von den Haruriyyah;;Pedir 300?prestados a los Haruriyyah;;;;;;;;;x
borrow_money_haruriyyah_desc;ÎÒ¿ÉÒÔÏò¹şÀïÂ³Ò®ÅÉ½èÒ»Ğ©ÎŞÏ¢ÎŞÆÚ´û¿î,µ«ÊÇÔÚÎÒÇ·Ç®ÆÚ¼ä,ËûÃÇµÄ´ó³¤ÀÏ»áÏòÎÒÌá³ö¸÷ÖÖ¸÷ÑùµÄÒªÇó,±ÈÈçËµÈÃÎÒµÄÒ»¸ö¶ù×Ó¼ÓÈëËûÃÇµÄĞĞÁĞ.;Je peux emprunter de l'argent aux Haruriyyah et rembourser la même somme quand bon me semble. Cependant, tant que cette dette existe, le Grand Maître peut formuler diverses requêtes, comme demander qu'un de mes fils rejoigne leurs rangs.;Ich kann mir von den Haruriyyah Geld leihen und den Betrag zu beliebiger Zeit zurückzahlen. Jedoch kann der Großmeister, während ich in ihrer Schuld stehe, an mich verschiedene Forderungen stellen, z.B. dass einer meiner Söhne dem Orden beitritt.;;Puedo pedir un préstamo a los Haruriyyah y devolverles la misma suma en cualquier momento. Sin embargo, mientras est?en deuda con ellos, el Gran Maestre podr?hacer distintas peticiones, como que uno de mis hijos se una a sus filas.;;;;;;;;;x
not_shia_caliphate_revolt_ongoing;Ã»ÓĞ±¬·¢ÓµÁ¢Ê²Ò¶ÅÉ¹şÀï·¢µÄÅÑÂÒ;Pas de révolte en cours pour établir le califat chiite;Kein lauefenden Revolt um das Schia-Kalifat zu etablieren;;Ningúna rebelión en curso para establecer el Califato Chi?;;;;;;;;x
shia_creation_independent;ÒªÃ´¶ÀÁ¢ÒªÃ´ËùÓĞ·â¾ı¶¼ĞÅÑöÊ²Ò¶ÅÉ\n;Indépendant ou tous les seigneurs liges sont chiites\n;Unabhängig oder alle Euch vorgesetzten Lehnsherrn sind Schiiten\n;;Independiente o todos sus señores son Chiitas\n;;;;;;;;;x
sunni_creation_independent;ÒªÃ´¶ÀÁ¢ÒªÃ´ËùÓĞ·â¾ı¶¼ĞÅÑöÑ·ÄáÅÉ\n;Indépendant ou tous les seigneurs liges sont sunnites\n;Unabhängig oder alle Euch vorgesetzten Lehnsherrn sind Sunniten\n;;Independiente o todos sus señores son Sunitas\n;;;;;;;;;x
