#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
khagan_overthrow_execution_warning_tooltip;Äã·ÅÏÂÎäÆ÷Í¶½µ£¬ÆíÇó[From.GetTitledName]µÄÈÊ´È¡£[From.GetSheHeCap]Ò²Ğí»á£¬Ò²Ğí²»»áÈÆ¹ıÄã¡­¡­\n;Vous abdiquez et vous vous soumettez au bon vouloir de [From.GetTitledName]. [From.GetSheHeCap] pourrait vous épargner...\n;Ihr ergebt Euch der Gnade von [From.GetTitledName]. [From.GetSheHeCap] wird entscheiden, ob Ihr verschont werdet...\n;;Te rindes y te sometes a la voluntad de [From.GetTitledName]. [From.GetSheHeCap] podría perdonarte la vida, o no...\n;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2F;ÎÒÃÇµÄ§Y$GOVERNMENT$§!ÕşÌåÔÊĞíÎÒÃÇÊÕ»Ø·â³¼¶ø²»ÒıÆğÆäËû·â³¼µÄ·´¶Ô¡£;Notre gouvernement §Y$GOVERNMENT$? nous permet de supprimer des vassaux sans que les autres vassaux ne s'y opposent.;Unsere Regierungsform §Y$GOVERNMENT$? ermöglicht es uns, Vasallen zu entlassen, ohne dass die anderen Vasallen Einwände erheben.;;Nuestro gobierno §Y$GOVERNMENT$? nos permite retirar vasallos sin objeciones de los demás vasallos.;;;;;;;;;x
REL_RETIRE_DESC;Í³ÖÎÕß¿ÉÒÔÒªÇó³ÉÄêÎŞµØÍ¢³¼·¢ÊÄ;Les souverains peuvent ordonner aux courtisans adultes sans terre de prononcer des vœux;Herrscher können erwachsenen Höflingen ohne Landbesitz befehlen, ins Kloster zu gehen.;;Los soberanos pueden ordenar a los cortesanos adultos sin tierra que hagan los votos.;;;;;;;;;x
merchant_republic_government_desc;×÷ÎªÒ»¸ö¹²ºÍ¹ú¹óÈËºÍ·â½¨ÁìÖ÷ÆäÊµÒ²Ã»Ê²Ã´´óÇø±ğ¡ª¡ªÄã»¹ÊÇÒª¿ØÖÆ¸ü¶àµÄµØ²ú£¬²¢ÇÒĞèÒªÒ»Î»Äã¼Ò×åµÄ¼Ì³ĞÈË¡£²»¹ı£¬¹²ºÍ¹úµÄÁìµ¼Î»ÖÃ½«»áÔÚÎå¸öÖ÷Òª¹óÈË¼Ò×åÀïÍ¨¹ıÌØÊâÑ¡¾ÙÂÖÁ÷Ìæ»»¡£¹óÈËÃÇ»¹¿ÉÒÔĞŞ½¨Ã³Ò×Õ¾ÍøÂç£¬ÉõÖÁÔÚÆäËûÊÆÁ¦µÄÊ¡·İÉÏ¡­¡­;Jouer un patricien au sein d'une république marchande est semblable ?l'expérience qu'offre un seigneur féodal? vous cherchez toujours ?posséder davantage de propriétés et vous devez avoir un héritier pour votre famille. Cependant, la gouvernance de votre république tourne entre les cinq familles patriciennes majeures par le biais d'élections spéciales. Les patriciens peuvent ainsi construire un réseau de comptoirs, même dans les comtés qui dépendent d'autres régimes...;Als Patrizier einer Kaufmannsrepublik zu spielen, ähnelt dem Spiel als Feudalfürst. Nach wie vor ist der Erwerb neuer Liegenschaften Euer Ziel und auch für einen Erben müsst Ihr sorgen. Allerdings gibt es innerhalb einer Republik spezielle Wahlen, durch die festgelegt wird, welche der fünf großen Patrizierfamilien die politische Führung der Republik übernimmt. Daneben können Patrizier ein Netzwerk von Handelsposten aufbauen, sogar auf dem Gebiet anderer Mächte...;;Encarnar a un patricio de una república mercante no es completamente diferente a encarnar a un señor feudal: sigues tratando de hacerte con más propiedades y necesitas un heredero en tu familia. No obstante, el liderazgo de la República cambia entre las cinco familias de patricios principales a través de unas elecciones especiales. Los patricios también pueden establecer una red de puestos comerciales, incluso en países de otras potencias...;;;;;;;;;x
GOV_CAN_BUILD_DESC;¿ÉÒÔ½¨Ôì$HOLDINGS_LIST$µØ²ú;Peut établir des propriétés de type '$HOLDINGS_LIST$';Kann die Liegenschaften $HOLDINGS_LIST$ errichten;;Se pueden construir posesiones de $HOLDINGS_LIST$;;;;;;;;;x
GOV_CANNOT_BUILD_DESC;²»¿ÉÒÔ½¨ÔìµØ²ú;Ne peut pas établir de propriétés;Kann keine Liegenschaften errichten;;No se pueden construir posesiones ;;;;;;;;;x
GOV_CAN_NOT_IMPRISON_DESC;²»¿ÉÒÔÃ»ÓĞÌØÊâÔ­ÒòÇô½û·â³¼;Ne peut emprisonner ses sujets sans raison particulière;Kann Untertanen nicht ohne besonderen Grund einkerkern;;No se puede encarcelar a súbditos sin razones especiales;;;;;;;;;x
pagan_group_FEATURES;§Y*§! ¸üÈİÒ×±»×ª±ä×Ú½Ì\n§Y*§! Í³ÖÎÕßÎŞ·¨·¢¶¯Ê¥Õ½\n§Y*§! Å®ĞÔ¿ÉÒÔ³ÉÎª¼äµı×Ü¹Ü;§Y*? Inférieure en conversion\n§Y*? Les souverains ne peuvent pas déclarer de guerres saintes\n§Y*? Les femmes peuvent occuper le poste de maître-espion;§Y*? Schwache Konvertierung\n§Y*? Herrscher können keine Heiligen Kriege erklären\n§Y*? Frauen können das Amt des Meisterspions erhalten;;§Y*? Inferior en la conversación\n§Y*? Los soberanos no pueden declarar Guerras Santas\n§Y*? Las mujeres pueden ocupar puestos de maestro espía;;;;;;;;;x
GOV_ALLOW_REVOKATION_DESC;·â³¼Í·ÏÎ¿ÉÒÔ±»ÊÕ»Ø£¬ÎŞĞèÌØ¶¨µÄ·¨ÂÉ;Les titres des vassaux peuvent être révoqués sans loi particulière;Vasallentitel können aberkannt werden, ohne dass besondere Gesetze nötig wären;;Los títulos de vasallo se pueden revocar sin necesidad de leyes especiales.;;;;;;;;;x
GOV_CAN_NOT_REVOKE_DESC;Èç¹ûÃ»ÓĞÌØÊâÔ­Òò£¬²»ÄÜÊÕ»ØÍ·ÏÎ;Ne peut révoquer un titre sans raison particulière;Titel können nicht ohne besonderen Grund aberkannt werden;;No se puede revocar títulos sin razones especiales.;;;;;;;;;x
