#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
#FILTER_SAME_REL;My Religion;;Meine Religion;;Mi religi¨®n;;;;;;;;;x;
#FILTER_SAME_REL_GROUP;My Religion Group;;Meine Religionsgruppe;;Mi grupo religioso;;;;;;;;;x;
#FILTER_NOT_SAME_REL;Not My Religion;;Nicht meine Religion;;No es mi religi¨®n;;;;;;;;;x;
#FILTER_NOT_SAME_REL_GROUP;Not My Religion Group;;Nicht meine Religionsgruppe;;No es mi grupo religioso;;;;;;;;;x;
#FILTER_ANY_REL;Any Religion;;Beliebige Religion;;Cualquier religi¨®n;;;;;;;;;x;
#FILTER_SAME_CUL;My Culture;;Meine Kultur;;Mi cultura;;;;;;;;;x;
#FILTER_SAME_CUL_GROUP;My Culture Group;;Meine Kulturgruppe;;Mi grupo cultural;;;;;;;;;x;
#FILTER_NOT_SAME_CUL;Not My Culture;;Nicht meine Kultur;;No es mi cultura;;;;;;;;;x;
#FILTER_ANY_CUL;Any Culture;;Beliebige Kultur;;Cualquier cultura;;;;;;;;;x;
#FILTER_NOT_SAME_CUL_GROUP;Not My Culture Group;;Nicht meine Kulturgruppe;;No es mi grupo cultural;;;;;;;;;x;
temple_baron_jewish;À­±È;Rabbin;Rabbiner;;Rabino;;;;;;;;;x
temple_baron_samaritan;À­±È;Rabbin;Rabbiner;;Rabino;;;;;;;;;x
temple_baron_karaite;À­±È;Rabbin;Rabbiner;;Rabino;;;;;;;;;x
RETTYPE_CUL_NUBIAN;Å¬±ÈÑÇ¹­¼ýÊÖ;Archers nubiens;Nubische Bogenschützen;;Arqueros Nubios;;;;;;;;;x
ca_culture_nubian_1;Å¬±ÈÑÇÕ½Ê¿±øÓª;Caserne des guerriers nubiens;Nubische Kriegerbaracken;;Barracas de Guerreros Nubios;;;;;;;;;x
ca_culture_nubian_2;Å¬±ÈÑÇÕ½Ê¿±øÓª;Caserne des guerriers nubiens;Nubische Kriegerbaracken;;Barracas de Guerreros Nubios;;;;;;;;;x
ca_culture_nubian_3;Å¬±ÈÑÇÕ½Ê¿±øÓª;Caserne des guerriers nubiens;Nubische Kriegerbaracken;;Barracas de Guerreros Nubios;;;;;;;;;x
ca_culture_nubian_4;Å¬±ÈÑÇÕ½Ê¿±øÓª;Caserne des guerriers nubiens;Nubische Kriegerbaracken;;Barracas de Guerreros Nubios;;;;;;;;;x
ca_culture_nubian_1_desc;ÕâÐ©±øÓªÊÇ¹Å´úÅ¬±ÈÑÇÕ½Ê¿´«Í³µÄÅàÑøºÍ·¢Õ¹µÄµØ·½¡£Å¬±ÈÑÇ×Ô¹Å´úÆð¾ÍÒÔÆä¾«Õ¿µÄ¹­¼ýÊÖ¶ø±¸ÊÜ×ð¾´£¬ÆäËûµÄ¾«Ó¢²½±ø²¿¶ÓÒ²µÃµ½ÑµÁ·ÒÔÖ§»¤ÕâÒ»Å¬±ÈÑÇÍ³ÖÎÕßµÄÓÐÁ¦ÎäÆ÷¡£;Cette caserne est le lieu o?les anciennes traditions des guerriers nubiens sont encouragées et développées. Depuis les anciens temps, la Nubie est respectée pour la qualit?magistrale de ses archers. D'autres unités d'infanterie d'élite sont entrainées et exercées ?soutenir cette puissante arme des dirigeants nubiens.;In diesen Barracken werden die traditionellen Nubischen Krieger ausgebildet. Nubien ist seit der Antike für seine fähigen Bogenschützen bekannt, so dass seine besten Soldaten darauf gedrillt werden, die mächtigste Waffe der Nubischen Herrscher auf dem Schlachtfeld zu unterstützen.;;En estas barracas es donde se desarrollan y mejoran las tradiciones militares nubias. Nubia es respetada por sus brillantes arqueros, y otras unidades deélite en infantería son entranados para el uso de esta potente arma de los gobernantes nubios.;;;;;;;;;x
#NOT_VARIABLE;§Y$VAR$§! is less than §Y$VALUE$§!;;§Y$VAR$? ist kleiner als §Y$VALUE$?;;§Y$VAR$? es menor que §Y$VALUE$?;;;;;;;;;x;
#VARIABLE;§Y$VAR$§! is at least §Y$VALUE$§!;;§Y$VAR$? ist mindestens §Y$VALUE$?;;§Y$VAR$? es al menos de §Y$VALUE$?;;;;;;;;;x;
#SET_VARIABLE;Set §Y$VAR$§! to §Y$VALUE$§!;;Setzt §Y$VAR$? auf Wert §Y$VALUE$?;;Adjuste de §Y$VAR$? a §Y$VALUE$?;;;;;;;;;x;
#CHANGE_VARIABLE;Change §Y$VAR$§! with §Y$VALUE$§!;;?ndert §Y$VAR$? um §Y$VALUE$?;;Cambio de §Y$VAR$? con §Y$VALUE$?;;;;;;;;;x;
#SUBTRACT_VARIABLE;Subtract §Y$VALUE$§! from §Y$VAR$§!;;Reduziert §Y$VAR$? um §Y$VALUE$?;;Reste §Y$VALUE$? de §Y$VAR$?;;;;;;;;;x;
#MULTIPLY_VARIABLE;Multiply §Y$VAR$§! with §Y$VALUE$§!;;Multipliziert §Y$VAR$? mit §Y$VALUE$?;;Multiplicar §Y$VAR$? con §Y$VALUE$?;;;;;;;;;x;
#DIVIDE_VARIABLE;Divide §Y$VAR$§! with §Y$VALUE$§!;;Teilt §Y$VAR$? durch §Y$VALUE$?;;Divide §Y$VAR$? con §Y$VALUE$?;;;;;;;;;x;
#TRIGGER_DYNASTY_HEAD;Head of Dynasty;;Oberhaupt der Dynastie;;Jefe de la Dinast¨ªa;;;;;x;
#NUM_OF_MAX_SETTLEMENTS_AT_LEAST;Max holdings at least §Y$VAL$?;;Anzahl der maximalen Besitzt¨¹mer mindestens §Y$VAL$?;;Max propiedades al menos §Y$VAL$?;;;;;x;
#NUM_OF_MAX_SETTLEMENTS_LESS_THAN;Max holdings less than §Y$VAL$?;;Anzahl der maximalen Besitzt¨¹mer geringer als §Y$VAL$?;;Max propiedades menos de §Y$VAL$?;;;;;x;
#NUM_OF_EMPTY_HOLDINGS_AT_LEAST;Empty holdings at least §Y$VAL$?;;Anzahl der unbenutzten Besitzt¨¹mer mindestens §Y$VAL$?;;Propiedades vac¨ªos al menos §Y$VAL$?;;;;;x;
#NUM_OF_EMPTY_HOLDINGS_LESS_THAN;Empty holdings less than §Y$VAL$?;;Anzahl der unbenutzten Besitzt¨¹mer geringer als §Y$VAL$?;;Propiedades vac¨ªos menos de §Y$VAL$?;;;;;x;
#DONT_BORDERS_MAJOR_RIVER;Does NOT border major river;;Grenzt NICHT an einen schiffbaren Fluss an;;NO bordea un r¨ªo importante;;;;;x;
#BORDERS_MAJOR_RIVER;Borders major river;;Grenzt an einen schiffbaren Fluss an;;Bordea un r¨ªo importante;;;;;x;
#SET_GRAPHICAL_CULTURE;Set graphical culture to §Y$NAME$?;;Setzt dargestellte Kulturgrafik auf §Y$NAME$?;;Establezca gr¨¢fica Cultura a §Y$NAME$?;;;;;x;
#IS_VARIABLE_EQUAL;§Y$VAR$§! is equal to §Y$VALUE$§!;;§Y$VAR$? is gleich Wert §Y$VALUE$?;;§Y$VAR$? es igual a §Y$VALUE$?;;;;;;;;;x;
