#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESC_WOL_431;手挽着手, [FromFrom.GetFirstName] 和我漫步在附近的小溪旁. 我们笑着互相分享秘密 至少有一个小时. 这是分享八卦的时刻... 是不是 [FromFrom.GetSubjectPronoun] 准备搞上另一个 [FromFrom.GetManWoman]? 我倾下身 开始对着 [FromFrom.GetPossPronoun] 的耳朵私语...;Bras dessus bras dessous, [FromFrom.GetFirstName] et moi nous sommes retrouv閟 au bord d'un ruisseau voisin. Nous avons ri ensemble et partag?des secrets pendant au moins une heure. C'est le moment de v閞it?.. Est-[FromFrom.GetSubjectPronoun] dans de bonnes dispositions pour une histoire d'amour? Je me penche et chuchote ?son oreille...;Arm in Arm schlendere ich mit [FromFrom.GetFirstName] zu einem nahe gelegenen Fluss. Mehr als eine Stunde haben wir uns angeregt unterhalten. Und nun ist er da, der Moment der Wahrheit ... Wird [FromFrom.GetSubjectPronoun] zur Liebe zwischen [FromFrom.GetManWoman] und [FromFrom.GetManWoman] bereit sein? Fl黶ternd formuliere ich den entscheidenden Satz ...;;Brazo en brazo, [FromFrom.GetFirstName] y yo fuimos a un arroyo cercano. Nos hemos reido y compartido detalles 韓timos durante una hora. Esto es el momento de la verdad... Puede ser que [FromFrom.GetSubjectPronoun] se enamorar韆 de un [FromFrom.GetManWoman]? Me acerco para susurrarle al oido...;;;;;;;;;x
EVTDESC_WOL_431_CR;我与 [FromFrom.GetFirstName] 手挽着手走在附近的溪流边散步,我们都很高兴并互且相分享了彼此的小秘密.在沉默了片刻后,我倚在[FromFrom.GetPossPronoun]耳边公开了我最大的秘密 - 我与[FromFrom.GetObjectPronoun]的真实感情...;Bras dessus bras dessous, [FromFrom.GetFirstName] et moi nous nous sommes retrouv閟 au bord d'un ruisseau voisin. ?l'occasion d'un moment de silence en cette bonne compagnie, je d閏ide de lui r関閘er le plus terrible des secrets? mes sentiments pour [FromFrom.GetHerselfHimself]. Je me penche et chuchote ?son oreille...;Arm in Arm schlendere ich mit [FromFrom.GetFirstName] zu einem nahe gelegenen Fluss. Stundenlang haben wir uns angeregt unterhalten. Dann, in einem Moment, da wir eintr鋍htig schweigen, sammele ich all meinen Mut, um [FromFrom.GetFirstName] meine wahren Gef黨le zu gestehen. Fl黶ternd formuliere ich den entscheidenden Satz ...;;Brazo en brazo, [FromFrom.GetFirstName] y yo fuimos a un arroyo cercano. Nos hemos reido y compartido detalles 韓timos durante horas. En un momento de silencio y complicidad, decido revelar el secreto m醩 terrible de todos - mi verdaderos sentimientos. Me acerco para susurrarle al oido...;;;;;;;;;x
EVTDESC_WOL_1003_SPY_RESULT;一个仆人在尾随跟踪 [target_spy_on.GetFirstName] 后脸色发白结结巴巴的报告了他的消息,他看到我的 [GetFromFromRelation] 与 [From.GetTitledName] 进了一间客房里.那个可怜的仆人躲在一副纺织的挂毯后面看到了一切!;Un des jeunes serviteurs ?qui j'avais demand?de suivre [target_spy_on.GetFirstName] m'informe en bredouillant, le visage bl阭e, qu'il a vu m[FromFrom.GetHerHis] [GetFromFromRelation] faire des choses en compagnie de [From.GetTitledName] dans une chambre r閟erv閑 aux invit閟? Le gar鏾n 閠ait dissimul?derri鑢e une tenture pendant tout ce temps...;Der Dienstbote, der ein Auge auf [target_spy_on.GetFirstName] haben sollte, berichtet aufs H鯿hste verst鰎t, was mein/e [GetFromFromRelation] mit [From.GetTitledName] in einem der G鋝tezimmer trieb! Aus seinem Versteck hinter dem Wandteppich konnte der Junge alles genau beobachten ...;;Uno de los j髒enes sirvientes que hab韆 mandado a espiar a [target_spy_on.GetFirstName] me cuenta, tartamudeando, lo que ha visto a mi [GetFromFromRelation] hacer con [From.GetTitledName] en una de las habitaciones de invitados! El chico lo vio todo escondido detr醩 de un tapiz.;;;;;;;;;x
student_of_strategy;学习策略;蓆udiant en strat間ie;Sch黮er der Milit鋜strategie;;Estudiante de Estrategia;;;;;;;;;x
student_of_strategy_desc;这个人物致力于研究历史上伟大的指挥官的军事智慧.;Ce personnage se consacre ?l'閠ude de la sagesse militaire des grands commandants de l'histoire.;Diese Person strebt danach, das milit鋜ische Wissen gro遝r historischer Befehlshaber zu erlangen.;;Este personaje se dedica a estudiar la sabidur韆 militar de los grandes comandantes de la historia.;;;;;;;;;x
adept_of_strategy;擅长战略;Adepte en strat間ie;Kenner der Milit鋜strategie;;Adepto de Estrategia;;;;;;;;;x
adept_of_strategy_desc;这个人物已经花时间学习历史上伟大的指挥官军事智慧.;Ce personnage a consacr?du temps ?l'閠ude de la sagesse militaire des grands commandants de l'histoire.;Diese Person hat einige Zeit mit dem Studium des milit鋜ischen Wissens gro遝r historischer Befehlshaber zugebracht.;;Este personaje ha dedicado mucho tiempo a estudiar la sabidur韆 militar de los grandes comandantes de la historia.;;;;;;;;;x
EVTDESC94018_india;历史是一个一直让你着迷的地方,你花了不少时间去学习研究阿育王的军事举动.其中有不少教训值得你思考!.;L'histoire est un domaine qui vous a toujours fascin? et vous avez pass?les derni鑢es semaines ?閠udier les campagnes d'Ashoka le Grand. Ses conqu阾es sont riches de nombreux enseignements.;Schon immer war die Geschichte ein Fach, dem Euer besonderes Interesse galt, und so habt Ihr Euch in den letzten Wochen eingehend mit den Feldz黦en Ashokas des Gro遝n befasst. Das Studium seiner Eroberungen war h鯿hst aufschlussreich.;;Siempre te ha fascinado la historia, y en las 鷏timas semanas has pasado muchos ratos estudiando las campa馻s de Ashoka el Grande. Se puede aprender mucho de sus conquistas.;;;;;;;;;x
EVTOPTB_94018;也许我也能达到这样的伟大成就.;Je pourrais peut-阾re, moi aussi, conna顃re une telle gloire.;Vielleicht ist es auch mir verg鰊nt, solchen Ruhm zu erlangen.;;Quiz醩 yo, tambi閚, podr韆 ser tan grande.;;;;;;;;;x
EVTOPTC_94018;我应该花更多的时间去学习这个...;Je dois consacrer davantage de temps ?ces 閠udes...;Ich sollte mich weiter mit dieser Materie befassen ...;;Deber韆 dedicar m醩 tiempo a estudiar esto...;;;;;;;;;x
