;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
PLOT_POWER_CONTRIB_LOWER_THAN;ÔÚ$PLOTTER$ $PLOT$Õâ¼şÊÂÉÏµÄ²ÎÓë¶ÈÉÙÓÚ§Y$POWER$%§!\n;Contribution au complot de $PLOTTER$ pour $PLOT$ est inférieure ?§Y$POWER$%?\n;Beteiligung an $PLOTTER$s Plan zum $PLOT$  geringer als §Y$POWER$%?\n ;;Contribución al complot de $PLOTTER$ sobre $PLOT$ inferior a §Y$POWER$%?\n;;;;;;;;;x
PLOT_POWER_CONTRIB_AT_LEAST;ÔÚ$PLOTTER$µÄ$PLOT$ÕâÒ»ÒõÄ±ÖĞµÄ²ÎÓë¶È´óÓÚ§Y$POWER$%§!\n;Contribution au complot de $PLOTTER$ pour $PLOT$ est égale ou supérieure ?§Y$POWER$%?\n;Beteiligung an $PLOTTER$s Plan zum $PLOT$  mindestens §Y$POWER$%?\n ;;Contribución al complot de $PLOTTER$ sobre $PLOT$ de al menos §Y$POWER$%?\n;;;;;;;;;x
;#INTERACTION_CANNOT_JOIN_VASSAL_WAR;We cannot join our vassals' wars (except for Crusades/Jihads);;Wir k?nnen uns den Kriegen unserer Vasallen nicht anschlie?en (au?er den Kreuzz¨¹gen/ Dschihads);;No podemos unirnos a la guerra de nuestros vasallos (salvo para cruzadas/yihads);;;;;;;;;x;
KILLER;Ğ×ÊÖ;Tueur;Mörder;;Asesino;;;;;;;;;x
ANY_SPOUSE_STARTS;ÈÎÒâÅäÅ¼;N'importe quelle épouse;Jeder Ehepartner;;Cualquier cónyuge;;;;;;;;;x
IS_MAIN_SPOUSE;ÊÇÕıÊÒ;Est la première épouse;Ist der Erste Ehepartner;;Es el primer cónyuge;;;;;;;;;x
IS_NOT_MAIN_SPOUSE;²»ÊÇÕıÊÒ;N'est pas la première épouse;Ist NICHT der Erste Ehepartner;;$WHO$ se convierte en primer cónyuge de $SPOUSE$.\n;;;;;;;;;x
CONQUEST_CULTURE_EFFECT;±»§Y$CULTURE$§!ÎÄÃ÷Õ÷·ş\n;Soumis ?la culture §Y$CULTURE$?.\n;Unterworfen von der §Y$CULTURE$?-Kultur\n;;Sometido por la cultura §Y$CULTURE$?\n;;;;;;;;;x
CONQUEST_CULTURE_EFFECT_FREED;°ÚÍÑ§Y$CULTURE$§!ÎÄÃ÷µÄ¼ÏËø\n;Libér?du joug §Y$CULTURE$?.\n;Befreit vom Joch des §Y$CULTURE$?s\n;;Liberado del yugo de la cultura §Y$CULTURE$?\n;;;;;;;;;x
MAKE_PRIMARY_SPOUSE_EFFECT;$WHO$³ÉÎª$SPOUSE$µÄÕıÊÒ.\n;$WHO$ est faite première épouse de $SPOUSE$.\n;$WHO$ wird der Erste Ehepartner von $SPOUSE$.\n;;$WHO$ se convierte en primer cónyuge de $SPOUSE$.\n;;;;;;;;;x
MAKE_NOT_PRIMARY_SPOUSE_EFFECT;$WHO$²»ÔÙÊÇ$SPOUSE$µÄÕıÊÒ.\n;$WHO$ n'est plus la première épouse de $SPOUSE$.\n;$WHO$ ist nicht länger der Erste Ehepartner von $SPOUSE$.\n;;$WHO$ ya no es primer cónyuge de $SPOUSE$.\n;;;;;;;;;x
HAVE_CONQUEST_CULTURE;±»§Y$CULTURE$§!ÎÄÃ÷Õ÷·ş\n;Est soumis ?la culture §Y$CULTURE$?.\n;Wird von der §Y$CULTURE$?-Kultur unterworfen\n;;Es sometido por la cultura §Y$CULTURE$?\n;;;;;;;;;x
HAVNT_CONQUEST_CULTURE;Î´±»§Y$CULTURE$§!ÎÄÃ÷Õ÷·ş\n;N'est pas soumis ?la culture §Y$CULTURE$?.\n;Wird NICHT von der §Y$CULTURE$?-Kultur unterworfen\n;;NO est?sometido por la cultura §Y$CULTURE$?\n;;;;;;;;;x
DISMISS_ALLOW_DESCRIPTION;Èç¹û¾ß±¸ÏÂÁĞÌõ¼ş¾Í¿ÉÒÔ½âÉ¢:\n;Peut être renvoy?si l'une des propositions suivantes est vraie? \n;Kann ignoriert werden, falls das Folgende zutrifft:\n;;Puede ser destituido si se cumple lo siguiente:\n;;;;;;;;;x
DIPLO_OF_POPE;×Ú½ÌÁìĞäÍâ½»;Diplomatie religieuse;Diplomatie des Religiösen Oberhauptes;;Diplomacia de la Cabeza Religiosa;;;;;;;;;x
INTERACTION_REQUIRES_FEWER_WIVES;§Y$CHAR$§WµÄÆŞ×ÓÊıÁ¿ÉÙÓÚ§Y$NUM$§W;§Y$CHAR$§W a moins de §Y$NUM$§W épouses.;§Y$CHAR$§W hat weniger als §Y$NUM$§W Ehefrauen;;§Y$CHAR$§W tiene menos de §Y$NUM$§W esposas;;;;;;;;;x
INTERACTION_REQUIRES_NO_OTHER_MARRIAGE;§Y$CHAR$§WÎ´»é;§Y$CHAR$§W n'est pas mari?;§Y$CHAR$§W ist unverheiratet;;§Y$CHAR$§W est?soltero;;;;;;;;;x
INTERACTION_REQUIRES_NO_TRUCE_OR_REV_REASON;ÒòÎªÓĞºÍÔ¼ÔÚÉí,ËùÒÔ±ØĞëÓĞÒ»¸öÌØÊâµÄ°ş¶áÀíÓÉ;Doit avoir une raison spéciale de révoquer le titre si nous sommes en période de trêve.;Muss einen besonderen Widerrufsgrund haben falls wir einen Waffenstillstand haben;;Debe existir una razón especial de revocación si hay tregua;;;;;;;;;x
INTERACTION_VALID_REASON;ÒòÎªÄãÔÚÀí£¬Ã»ÓĞÈË»á·´¶Ô.;Vous avez une bonne raison, alors personne ne s'en souciera.;Da Ihr einen triftigen Grund habt, wird es keine Seele kümmern.;;Como tienes una razón válida, a nadie le importar?;;;;;;;;;x
tribal_invasion_desc;ÎÒÃÇ²»ÓÃÎªÕÒ½è¿Ú¶øÀ§ÈÅ ¡ª Ç¿È¨¼´ÕæÀí! §Y$CLAIMANT$§!¿ÉÒÔÈëÇÖ§Y$TARGET$§!µÄÍÁµØ. Èç¹û³É¹¦µÄ»°½«»ñµÃËùÓĞÕ¼ÁìµØÉÏµÄÍ·ÏÎ, ²¢ÇÒ¸½Ó¹Ô­ÓĞµÄËùÓĞ·â³¼.;Inutile de s'embêter ?trouver de justes casus belli, la force fait loi? §Y$CLAIMANT$? peut envahir les terres de §Y$TARGET$?. S'il réussit, les titres de toutes les propriétés occupées par ses troupes seront saisis et les autres seigneurs passeront sous son autorit?;Wir brauchen uns nicht nicht mit gerechten Gründen befassen ?Macht geht vor Recht! §Y$CLAIMANT$? kann in die Länder von §Y$TARGET$? einmarschieren. Falls dies erfolgreich ist, werden alle derzeit besetzten Gebiete beschlagnahmt und alle Vasallen werden;;¡No hemos de preocuparnos por la justicia de las causas! ¡La fuerza otorga el derecho! §Y$CLAIMANT$? puede invadir las tierras de §Y$TARGET$?. De tener éxito, los títulos de todas las propiedades ocupadas se confiscarán y todos sus vasallos se convertirán en nuestros vasallos.;;;;;;;;;x
decadence_invasion_desc;ÎÒÃÇ²»ÓÃÎªÕÒ½è¿Ú¶øÀ§ÈÅ ¡ª Ç¿È¨¼´ÕæÀí! §Y$CLAIMANT$§!¿ÉÒÔÈëÇÖ§Y$TARGET$§!µÄÍÁµØ.;Inutile de s'embêter ?trouver de justes casus belli, la force fait loi? §Y$CLAIMANT$? peut envahir les terres de §Y$TARGET$?. ;Wir brauchen uns nicht mit gerechten Gründen befassen ?Macht geht vor Recht! §Y$CLAIMANT$? kann in die Länder von §Y$TARGET$? einmarschieren.;;¡No hemos de preocuparnos por la justicia de las causas! ¡La fuerza otorga el derecho! §Y$CLAIMANT$? puede invadir las tierras de §Y$TARGET$?.;;;;;;;;;x
title_food_taster;ÊÔ¶¾Õß;Goûteur;Vorkoster;;Catador;;;;;;;;;x
title_food_taster_desc;ÊÔ¶¾Õß¶ÔËùÓĞµÄ²ËÆ·ÔÚÁìÖ÷»¹Ã»Ò§ÉÏÒ»¿Ú¾ÍÄÜ³¢µ½µÄÊÂÇéÓĞ×ÅÄªÃûµÄĞËÈ¤...;Le goûteur jouit du plaisir aléatoire de tester tous les plats avant que ceux-ci ne soient servis ?son maître...;Vorkoster haben das fragwürdige Vergnügen, alle Speisen zu probieren, bevor ihr Herr den ersten Bissen nimmt?;Los catadores tienen el dudoso placer de catar todos los platos antes de que su amo los pruebe...;;;;;;;;;x
title_court_calligrapher;¹¬Í¢Êé·¨¼Ò;Calligraphe;Hofkalligraph;;Calígrafo de la corte;;;;;;;;;x
title_court_calligrapher_desc;ÒÁË¹À¼¶Ô¾ßÏóÒÕÊõµÄ²Â¼ÉÊ¹µÃÊé·¨¼Ò´óÊÜ×ğ¾´.;L'art figuratif étant perçu comme une transgression par l'islam, les calligraphes expérimentés sont hautement respectés.;Der islamische Verdacht der metaphorischen Kunst verschafft erfahrenen Kalligraphen hohes Ansehen.;;La sospecha islámica del arte figurativo hace que los calígrafos expertos gocen de gran respeto.;;;;;;;;;x
title_court_musician;¹¬Í¢ÀÖÊ¦;Musicien de la Cour;Hofmusiker;;Músico de la corte;;;;;;;;;x
title_court_musician_desc;¹¬Í¢ÀÖÊ¦Ê±¿Ì×¼±¸×Å¸§²¦ÀÖÆ÷´ı¿Í.;Le musicien est toujours prêt ?divertir la Cour avec ses mélodies parfois apaisantes, parfois entraînantes.;Der Hofmusiker ist immer bereit, mit sanfter oder ergreifender Musik zu unterhalten.;;El músico de la corte siempre est?listo para entretener con música relajante o conmovedora.;;;;;;;;;x
title_court_poet;¹¬Í¢Ê«ÈË;Poète;Hofdichter;;Poeta de la corte;;;;;;;;;x
title_court_poet_desc;ÒÁË¹À¼Ê«ÈËÏíÓĞ¼«¸ßµÄÉùÓşºÍÍşÍû£¬¾­³£´´×÷×Ú½ÌÖ÷ÌâµÄ×÷Æ·£¬µ«ÓĞÊ±Ò²»áÌôÕ½ÒÁË¹À¼Éç»á½ÓÊÜ³Ì¶ÈµÄ½çÏŞ.;Les poètes islamiques jouissent d'un fort respect et d'un grand prestige. Traitant souvent du thème de la religion, il leur arrive parfois de repousser les limites de ce que l'islam perçoit comme acceptable.;Islamische Dichter erlangen großen Ruhm und Ansehen, oft religiöser Natur, aber machmal gehen sie über die Grenzen des im Islam Erlaubten hinaus.;;Los poetas islámicos disfrutan de gran respeto y prestigio, a menudo religiosos, pero a veces rozan los límites de lo aceptable para el Islam.;;;;;;;;;x
title_chief_architect;Ê×Ï¯¼Ü¹¹Ê¦;Maître-architecte;Chef-Architekt;;Arquitecto Jefe;;;;;;;;;x
