#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
temple_baron_west_african_pagan;¼ÀË¾;Prêtre;Priester;;Sacerdote;;;;;;;;;x
temple_baron_west_african_pagan_reformed;¼ÀË¾;Prêtre;Priester;;Sacerdote;;;;;;;;;x
temple_baron_female_west_african_pagan;Å®¼ÀË¾;Prêtresse;Priesterin;;Sacerdotisa;;;;;;;;;x
temple_baron_female_west_african_pagan_reformed;Å®¼ÀË¾;Prêtresse;Priesterin;;Sacerdotisa;;;;;;;;;x
MATCHMAKING_REFRESH_LAN_STOP;Í£Ö¹Ë¢ÐÂ;Arrêter l'actualisation;;;;;;;;;;;;x
VS_REL_ENEMY;Õë¶Ô×Ú½ÌµÐÈËµÄ¹¥»÷;Dégâts contre ses ennemis religieux;Schaden gegen religiöse Feinde;;Daño producido a un enemigo religioso;;;;;;;;;x
EXILE_IMPRISONED_INTERACTION_3;·ÅÖð¸ÃÈËÎï½«»¨·ÑÄã§R$PIETY$§!$PIETYNAME$¡£;L'exil vous coûtera §R$PIETY$§! en $PIETYNAME$.;Die Verbannung wird Euch §R$PIETY$§! $PIETYNAME$ kosten.;;La Destierro te costará §R$PIETY$§! de $PIETYNAME$.;;;;;;;;;x
S_TRO;ST;ST;ST;;ST;;;;;;;;;x
defenderbonus_jungle;´ÔÁÖ;Jungle;Dschungel;;Jungla;;;;;;;;;x
HAS_AUTOCEPHALY;ÓµÓÐ¶«Õý½Ì×ÔÖÎ½Ì»á;A l'autocéphalie;Hat Autokephalie;;Tiene Autocefalía;;;;;;;;;x
HAS_NOT_AUTOCEPHALY;Ã»ÓÐ¶«Õý½Ì×ÔÖÎ½Ì»á;N'a pas d'autocéphalie;Hat NICHT Autokephalie;;No tiene Autocefalía;;;;;;;;;x
