;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
d_nubia;马库里亚;Makourie;Makuria;;Makuria;;;;;;;;;x
d_nubia_adj;马库里亚;makourienne;makurisch;;Makurrana;;;;;;;;;x
;#d_hayya;Hayya;;Hayya;;Hayya;;;;;;;;;x;
;#d_hayya_adj;Hayyan;;hayisch;;Hayana;;;;;;;;;x;
;#d_sennar;Sennar;;Sannar;;Sennar;;;;;;;;;x;
;#d_sennar_adj;Sennari;;sannarisch;;Sennarí;;;;;;;;;x;
LIEGEPIETY_HEADER;领主之[Player.Religion.GetPietyName];[Player.Religion.GetPietyName] pour le seigneur;[Player.Religion.GetPietyName] f黵 Lehnsherr;;[Player.Religion.GetPietyName] para el Se駉r;;;;;;;;;x
;#NO_LIEGEPIETY;This vassal is not giving any piety to you.\nSome buildings in temple holdings give piety to the holder's liege.;;Dieser Vasall bringt Euch keine Piet?t.\nEinige Geb?ude in Tempel-Besitztümern generieren Piet?t für den Lehnsherr des Besitzers.;;Este vasallo no te proporciona nada de piedad.\nAlgunas construcciones en los templos proporcionan piedad al Se?or del terrateniente;;;;;;;;;x;
major_river_crossing;主河道横渡;Franchissement d'un fleuve majeur;bedeutende Furt;;Cruzar un r韔 importante;;;;;;;;;x
realm_job_spiritual;王国之$TITLE$们;$TITLE$s vassaux;Reichs-$TITLE$;;$TITLE$s del Reino;;;;;;;;;x
job_spiritual_finnish_pagan;祭司;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_finnish_pagan_reformed;祭司;Devin ;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_baltic_pagan;祭司;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_baltic_pagan_reformed;祭司;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_slavic_pagan;祭司;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_slavic_pagan_reformed;祭司;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_tengri_pagan;萨满;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_tengri_pagan_reformed;萨满;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_zoroastrian;大祭司;Mobad;Mobed;;Mobad;;;;;;;;;x
nick_hardeknud;强壮的克努特;Hardeknud;Harthaknut;;Harthacnut;;;;;;;;;x
steppe;大草原;Steppe;Steppe;;Estepa;;;;;;;;;x
TOGGLE_LOOTER_FAIL_CHARALLOWED;领主允许掠夺; Le propri閠aire peut piller;Besitzer kann pl黱dern;; Se駉r puede saquear;;;;;;;;;x
TOGGLE_LOOTER_FAIL_INOWNLAND;部队正在友邦行进; L'unit?est en territoire ami;Einheit ist in befreundetem Gebiet;;La unidad se encuentra en tierras amigas;;;;;;;;;x
TOGGLE_LOOTER_FAIL_MERC;部队无雇佣军; L'unit?n'inclut pas de compagnie de mercenaires;Einheit enth鋖t keine S鰈dner;;En la unidad no pueden paraticipar Mercenarios;;;;;;;;;x
TOGGLE_LOOTER_FAIL_ISATTACHED;该部队未配属于另一部队; L'unit?n'est pas attach閑 ?une autre unit?Einheit ist keiner anderen Einheit angeschlossen;;Esta unidad no forma parte de otra unidad;;;;;;;;;x
TOGGLE_LOOTER_FAIL_HASATTACHED;该部队无任何附属部队; L'unit?n'a aucune unit?attach閑;Einheit hat keine anderen angeschlossenen Einheiten;;Esta unidad no est?constituida por m醩 unidades.;;;;;;;;;x
INTERACTION_GRANT_GAVELKIND_EXPLOIT;$NAME$?作为你的长子，在均分继承法下不能被授予$TITLE$?;En tant que votre premier h閞itier en partage salique, $NAME$? ne peut pas recevoir $TITLE$?;Als direkter Erbe unter Gavelkind-Nachfolgerecht kann $NAME$? $TITLE$? nicht erhalten;;Como tu principal heredero bajo la Ley de Sucesi髇 por Divisi髇, $NAME$? no puede recibir el $TITLE$?;;;;;;;;;x
ca_steppe_barracks_1;蒙古勇士军营;Hutte de guerriers des steppes;Steppenkriegerh黷te;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_barracks_2;蒙古勇士军营;Hutte de guerriers des steppes;Steppenkriegerh黷te;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_barracks_3;蒙古勇士军营;Hutte de guerriers des steppes;Steppenkriegerh黷te;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_barracks_4;蒙古勇士军营;Hutte de guerriers des steppes;Steppenkriegerh黷te;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_barracks_5;蒙古勇士军营;Hutte de guerriers des steppes;Steppenkriegerh黷te;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_barracks_6;蒙古勇士军营;Hutte de guerriers des steppes;Steppenkriegerh黷te;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_stable_1;蒙古铁骑牧场;Terrain 閝uestre des steppes;Steppenreiterkoppel;;Zona de Equitaci髇 de la Estepa;;;;;;;;;x
ca_steppe_stable_2;蒙古铁骑牧场;Terrain 閝uestre des steppes;Steppenreiterkoppel;;Zona de Equitaci髇 de la Estepa;;;;;;;;;x
ca_steppe_stable_3;蒙古铁骑牧场;Terrain 閝uestre des steppes;Steppenreiterkoppel;;Zona de Equitaci髇 de la Estepa;;;;;;;;;x
ca_steppe_stable_4;蒙古铁骑牧场;Terrain 閝uestre des steppes;Steppenreiterkoppel;;Zona de Equitaci髇 de la Estepa;;;;;;;;;x
ca_steppe_stable_5;蒙古铁骑牧场;Terrain 閝uestre des steppes;Steppenreiterkoppel;;Zona de Equitaci髇 de la Estepa;;;;;;;;;x
ca_steppe_stable_6;蒙古铁骑牧场;Terrain 閝uestre des steppes;Steppenreiterkoppel;;Zona de Equitaci髇 de la Estepa;;;;;;;;;x
CK2CoA3DLC;王朝盾徽包3;Pack d'armoiries dynastiques III;Dynastiewappen Pack 3;;Pack 3 de Armas Din醩ticas;;;;;;;;;x
NorseUnitPackDLC;诺斯军队包;Pack d'unit閟 nordiques;Nordische Einheiten Pack;;Pack de Unidades N髍dicas;;;;;;;;;x
NorsePortraitsDLC;诺斯人群像;Portraits nordiques;Nordische Portr鋞s Pack;;Perfiles N髍dicos;;;;;;;;;x
ca_steppe_barracks_desc;蒙古人注重骑兵训练，但同时却忽视了步兵训练。不过在这些军营里训练的战士更善于使自己在战场上立于不败之地;Les peuples des steppes se focalisent sur la guerre mont閑 au d閠riment des fantassins, mais les combattants entra頽閟 dans cette hutte de guerriers sont plus que capables de bien se tenir au combat.;Die Steppenv鰈ker ziehen den Kampf zu Pferde vor, aber die hier ausgebildeten unberittenen Krieger k鰊nen sich durchaus im Krieg behaupten.;;Los pueblos de las estepas se valieron principalmente de la lucha a caballo infravalorando a los guerreros a pie, pero los guerreros entrenados en este campamento son perfectamente capaces de batallar por si mismos.;;;;;;;;;x
ca_steppe_stable_desc;大草原最适于作战，而且游牧民族的战术文化知道怎么利用这一优势。这些牧场能够产生优良的轻骑兵和马上神箭手。;Les steppes sont des terrains id閍ux au combat mont?et les guerriers nomades de ces terres savent le porter ?leur avantage. Ces terrains d'閝uestres permettent de lever plus de cavaliers et d'archers mont閟.;Die Steppen sind das ideale Gel鋘de f黵 den Kampf zu Pferde und die nomadischen Kulturen wissen diesen Vorteil zu nutzen. Diese Geb鋟de produzieren zus鋞zliche leichte Kavallerie und berittene Sch黷zen.;;La estepa es el escenario ideal para la lucha a caballo, y la cultura guerrera de los pueblos esteparios sabe perfectamente utilizar esta ventaja. Estos campos de junetes producen un extra de caballer韆 ligera y arqueros a caballo.;;;;;;;;;x
