#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
MENU_BAR_GAME_CONVERT;µ¼³öÓÎÏ·;Exporter une partie;Spiel exportieren;;Exportar Partida;;;;;;;;;x
MENU_BAR_GAME_CONVERT_DEL;°ÑÓÎÏ·µ¼³öÖÁÅ·Â½·çÔÆ4;Exporter une partie vers EU4;Spiel nach EU4 exportieren;;Exportar partuda a EU4;;;;;;;;;x
BARBER_TOOLTIP;Àí·¢;Aller chez le barbier;Zum Barbier gehen;;Ir al Peluquero;;;;;;;;;x
RENAME_TITLE_TOOLTIP;Í·ÏÎÖØÃüÃû;Renommer titre;Titel umbenennen;;Renombrar Título;;;;;;;;;x
CUSTOMIZE_HOUSE_TOOLTIP;×Ô¶¨Òå¼Ò×å;Personnaliser dynastie;Haus anpassen;;Personaliza tu Dinastía;;;;;;;;;x
CUSTOMIZE_HOUSE_TOOLTIP_DISABLED;Äã²»ÄÜÑ¡Ôñ¸Ã¼Ò×å£¬ÒòÎªÄã±ØĞë³ÉÎªÆäËùÓĞ³ÉÔ±µÄ×î¸ßÁìÖ÷¡£;Vous ne pouvez pas personnaliser cette dynastie car vous devez être le plus haut seigneur de tous ses membres.;Du kannst diese Dynastie nicht anpassen, da du der oberste Lehnsherr all ihrer Mitglieder sein musst.;;No puedes personalizar esta dinastía porque tienes que ser el Señor de todos sus miembros.;;;;;;;;;x
c_lappland_adj;À­ÆÕÀ¼;samie;Samisch;;Sápmi;;;;;;;;;x
RENAME;ÖØÃüÃû;Renommer;Umbenennen;;Renombrar;;;;;;;;;x
NAME;ÃüÃû;Nom;Name;;Nombre;;;;;;;;;x
ADJECTIVE;ĞÎÈİ´Ê;Gentil?Adjektiv;;Adjetivo;;;;;;;;;x
POSSIBLE_PLOT_POWER;¿ÉÄÜÃÜÄ±µãÊı;Puissance possible du complot;Mögliche Verschwörungsstaerke;;Potencial posible del complot;;;;;;;;;x
AUTO_INVITE_PLOTTERS;×Ô·¢ÃÜÄ±²ÎÓëÕß;Invitation automatique des comploteurs;Verschwörer automatisch einladen;;Autoinvitar conspiradores;;;;;;;;;x
AUTO_STOP_PLOTS;×Ô·¢Í£Ö¹ÃÜÄ±;Arrêt automatique des complots;Verschwörungen automatisch beenden;;Autodetener complots;;;;;;;;;x
AUTO_STOPPED_PLOT_SETUP;ÃÜÄ±±»½Ò·¢;Complot découvert;Verschwörung aufgedeckt;;Complot descubierto;;;;;;;;x
AUTO_STOPPED_PLOT_LOG;§Y$PLOTTER$§! $PLOTTERJOB$ Ïë §Y$PLOTNAME$§!.;§Y$PLOTTER$?$PLOTTERJOB$ cherche ?§Y$PLOTNAME$?.;§Y$PLOTTER$?$PLOTTERJOB$ strebt nach §Y$PLOTNAME$?.;;§Y$PLOTTER$?$PLOTTERJOB$ pretende §Y$PLOTNAME$?.;;;;;;;;x
AUTO_STOPPED_PLOT_LETTER;ÎÒÒÑ·¢ÏÖ$PLOTTER$ÍıÍ¼$PLOTNAME$µÄÃÜÄ±.ÎÒÒ²ÒÑÅÉ³öÒ»ÃûÊ¹ÕßÈÃËûÊÕÊÖ.\n\nÄúµÄ¼äµı×Ü¹Ü,\n$SPYMASTER$;J'ai découvert un complot par lequel $PLOTTER$ cherche ?$PLOTNAME$. J'ai dépêch?un émissaire pour lui demander de cesser ces agissements sur l'instant. \n\nVotre humble maître-espion,\n$SPYMASTER$;Ich habe eine Verschwörung aufgedeckt, wo $PLOTTER$  $PLOTNAME$ erreichen will. Ich habe einen Emissaer losgesandt, um ihn dieses beenden zu lassen.\n\nIhr demuetiger Agentenführer,\n$SPYMASTER$;;He descubierto un complot en el que $PLOTTER$ pretende $PLOTNAME$. Le he enviado un emisario para que desista de ello. \n\nTu humilde jefe de espías,\n$SPYMASTER$;;;;;;;;;x
AUTO_STOP_PLOT_START_SETUP;¼äµı×Ü¹ÜÅÉ³öĞÅÊ¹¡£;Le maître-espion envoie des messagers;Agentenführer schickt Boten;;El jefe de espías envía emisarios;;;;;;;;;x
AUTO_STOP_PLOT_START_LOG;$SPYMASTER$ ÅÉ³öĞÅÊ¹ÖÆÖ¹ÃÜÄ±·¢¶¯Õß;$SPYMASTER$ envoie des émissaires pour faire cesser les complots;$SPYMASTER$ hat Boten ausgeschickt, um Verschwörer zu stoppen;;$SPYMASTER$ envia emisarios para hacer desistir a los conspiradores;;;;;;;;;x
